;; This is a kahuna data file for the year 2055
;; Comments are indicated by the two semicolons
;; The key of boundaries is Н (next year will be Е)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	17	228	134	223	13	13
8	18	229	135	222	13	13
8	19	230	136	221	13	13
8	20	231	137	220	13	13
8	21	232	138	219	13	13
8	22	233	139	218	13	13
8	23	234	140	217	13	13
8	24	235	141	216	14	14
8	25	236	142	215	14	14
8	26	237	143	214	14	14
8	27	238	144	213	14	14
8	28	239	145	212	14	14
8	29	240	146	211	14	14
8	30	241	147	210	14	14
8	31	242	148	209	15	15
9	1	243	149	208	15	15
9	2	244	150	207	15	15
9	3	245	151	206	15	15
9	4	246	152	205	15	15
9	5	247	153	204	15	15
9	6	248	154	203	15	15
9	7	249	155	202	16	16
9	8	250	156	201	16	16
9	9	251	157	200	16	16
9	10	252	158	199	16	16
9	11	253	159	198	16	16
9	12	254	160	197	16	16
9	13	255	161	196	16	16
9	14	256	162	195	17	17
9	15	257	163	194	17	17
9	16	258	164	193	17	17
9	17	259	165	192	17	17
9	18	260	166	191	17	17
9	19	261	167	190	17	17
9	20	262	168	189	17	17
9	21	263	169	188	18	18
9	22	264	170	187	18	18
9	23	265	171	186	18	18
9	24	266	172	185	18	18
9	25	267	173	184	18	18
9	26	268	174	183	18	18
9	27	269	175	182	18	18
9	28	270	176	181	19	19
9	29	271	177	180	19	19
9	30	272	178	179	19	19
10	1	273	179	178	19	19
10	2	274	180	177	19	19
10	3	275	181	176	19	19
10	4	276	182	175	19	19
10	5	277	183	174	20	20
10	6	278	184	173	20	20
10	7	279	185	172	20	20
10	8	280	186	171	20	20
10	9	281	187	170	20	20
10	10	282	188	169	20	20
10	11	283	189	168	20	20
10	12	284	190	167	21	21
10	13	285	191	166	21	21
10	14	286	192	165	21	21
10	15	287	193	164	21	21
10	16	288	194	163	21	21
10	17	289	195	162	21	21
10	18	290	196	161	21	21
10	19	291	197	160	22	22
10	20	292	198	159	22	22
10	21	293	199	158	22	22
10	22	294	200	157	22	22
10	23	295	201	156	22	22
10	24	296	202	155	22	22
10	25	297	203	154	22	22
10	26	298	204	153	23	23
10	27	299	205	152	23	23
10	28	300	206	151	23	23
10	29	301	207	150	23	23
10	30	302	208	149	23	23
10	31	303	209	148	23	23
11	1	304	210	147	23	23
11	2	305	211	146	24	24
11	3	306	212	145	24	24
11	4	307	213	144	24	24
11	5	308	214	143	24	24
11	6	309	215	142	24	24
11	7	310	216	141	24	24
11	8	311	217	140	24	24
11	9	312	218	139	25	25
11	10	313	219	138	25	25
11	11	314	220	137	25	25
11	12	315	221	136	25	25
11	13	316	222	135	25	25
11	14	317	223	134	25	25
11	15	318	224	133	25	25
11	16	319	225	132	26	26
11	17	320	226	131	26	26
11	18	321	227	130	26	26
11	19	322	228	129	26	26
11	20	323	229	128	26	26
11	21	324	230	127	30	26
11	22	325	231	126	26	26
11	23	326	232	125	27	27
11	24	327	233	124	27	27
11	25	328	234	123	27	27
11	26	329	235	122	27	27
11	27	330	236	121	27	27
11	28	331	237	120	27	27
11	29	332	238	119	27	27
11	30	333	239	118	28	28
12	1	334	240	117	28	28
12	2	335	241	116	28	28
12	3	336	242	115	28	28
12	4	337	243	114	28	28
12	5	338	244	113	28	28
12	6	339	245	112	28	29
12	7	340	246	111	29	29
12	8	341	247	110	29	29
12	9	342	248	109	29	29
12	10	343	249	108	29	29
12	11	344	250	107	29	29
12	12	345	251	106	29	30
12	13	346	252	105	29	28
12	14	347	253	104	30	30
12	15	348	254	103	30	30
12	16	349	255	102	30	30
12	17	350	256	101	30	30
12	18	351	257	100	30	30
12	19	352	258	99	26	29
12	20	353	259	98	
12	21	354	260	97	31	31
12	22	355	261	96	31	31
12	23	356	262	95	31	31
12	24	357	263	94	31	31
12	25	358	264	93	31	31
12	26	359	265	92	
12	27	360	266	91	30	30
12	28	361	267	90	32	32
12	29	362	268	89	32	32
12	30	363	269	88	32	32
12	31	364	270	87	32	32
1	1	0	271	86	32	32
1	2	1	272	85	31	31
1	3	2	273	84	31	31
1	4	3	274	83	33	33
1	5	4	275	82	33	33
1	6	5	276	81	33	33
1	7	6	277	80	33	33
1	8	7	278	79	33	33
1	9	8	279	78	32	32
1	10	9	280	77	32	32
1	11	10	281	76	33	33
1	12	11	282	75	33	33
1	13	12	283	74	33	33
1	14	13	284	73	33	33
1	15	14	285	72	33	33
1	16	15	286	71	33	33
