;; This is a kahuna data file for the year 2079
;; Comments are indicated by the two semicolons
;; The key of boundaries is Т (next year will be І)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	22	233	134	223	13	13
8	23	234	135	222	13	13
8	24	235	136	221	13	13
8	25	236	137	220	13	13
8	26	237	138	219	13	13
8	27	238	139	218	13	13
8	28	239	140	217	13	13
8	29	240	141	216	14	14
8	30	241	142	215	14	14
8	31	242	143	214	14	14
9	1	243	144	213	14	14
9	2	244	145	212	14	14
9	3	245	146	211	14	14
9	4	246	147	210	14	14
9	5	247	148	209	15	15
9	6	248	149	208	15	15
9	7	249	150	207	15	15
9	8	250	151	206	15	15
9	9	251	152	205	15	15
9	10	252	153	204	15	15
9	11	253	154	203	15	15
9	12	254	155	202	16	16
9	13	255	156	201	16	16
9	14	256	157	200	16	16
9	15	257	158	199	16	16
9	16	258	159	198	16	16
9	17	259	160	197	16	16
9	18	260	161	196	16	16
9	19	261	162	195	17	18
9	20	262	163	194	17	18
9	21	263	164	193	17	18
9	22	264	165	192	17	18
9	23	265	166	191	17	18
9	24	266	167	190	17	18
9	25	267	168	189	17	18
9	26	268	169	188	18	19
9	27	269	170	187	18	19
9	28	270	171	186	18	19
9	29	271	172	185	18	19
9	30	272	173	184	18	19
10	1	273	174	183	18	19
10	2	274	175	182	18	19
10	3	275	176	181	19	20
10	4	276	177	180	19	20
10	5	277	178	179	19	20
10	6	278	179	178	19	20
10	7	279	180	177	19	20
10	8	280	181	176	19	20
10	9	281	182	175	19	20
10	10	282	183	174	20	21
10	11	283	184	173	20	21
10	12	284	185	172	20	21
10	13	285	186	171	20	21
10	14	286	187	170	20	21
10	15	287	188	169	20	21
10	16	288	189	168	20	21
10	17	289	190	167	21	22
10	18	290	191	166	21	22
10	19	291	192	165	21	22
10	20	292	193	164	21	22
10	21	293	194	163	21	22
10	22	294	195	162	21	22
10	23	295	196	161	21	22
10	24	296	197	160	22	23
10	25	297	198	159	22	23
10	26	298	199	158	22	23
10	27	299	200	157	22	23
10	28	300	201	156	22	23
10	29	301	202	155	22	23
10	30	302	203	154	22	23
10	31	303	204	153	23	24
11	1	304	205	152	23	24
11	2	305	206	151	23	24
11	3	306	207	150	23	24
11	4	307	208	149	23	24
11	5	308	209	148	23	24
11	6	309	210	147	23	24
11	7	310	211	146	24	25
11	8	311	212	145	24	25
11	9	312	213	144	24	25
11	10	313	214	143	24	25
11	11	314	215	142	24	25
11	12	315	216	141	24	25
11	13	316	217	140	24	25
11	14	317	218	139	25	26
11	15	318	219	138	25	26
11	16	319	220	137	25	26
11	17	320	221	136	25	26
11	18	321	222	135	25	26
11	19	322	223	134	25	26
11	20	323	224	133	25	26
11	21	324	225	132	26	27
11	22	325	226	131	26	27
11	23	326	227	130	26	27
11	24	327	228	129	26	27
11	25	328	229	128	26	27
11	26	329	230	127	29	27
11	27	330	231	126	26	27
11	28	331	232	125	27	28
11	29	332	233	124	27	28
11	30	333	234	123	27	28
12	1	334	235	122	27	28
12	2	335	236	121	27	28
12	3	336	237	120	27	28
12	4	337	238	119	27	29
12	5	338	239	118	28	29
12	6	339	240	117	28	29
12	7	340	241	116	28	29
12	8	341	242	115	28	29
12	9	342	243	114	28	29
12	10	343	244	113	28	30
12	11	344	245	112	29	28
12	12	345	246	111	29	30
12	13	346	247	110	29	30
12	14	347	248	109	29	30
12	15	348	249	108	29	30
12	16	349	250	107	29	30
12	17	350	251	106	26	29
12	18	351	252	105	
12	19	352	253	104	30	31
12	20	353	254	103	30	31
12	21	354	255	102	30	31
12	22	355	256	101	30	31
12	23	356	257	100	30	31
12	24	357	258	99	
12	25	358	259	98	
12	26	359	260	97	31	32
12	27	360	261	96	31	32
12	28	361	262	95	31	32
12	29	362	263	94	31	32
12	30	363	264	93	31	32
12	31	364	265	92	30	31
1	1	0	266	91	30	30
1	2	1	267	90	32	33
1	3	2	268	89	32	33
1	4	3	269	88	32	33
1	5	4	270	87	32	33
1	6	5	271	86	32	33
1	7	6	272	85	31	17
1	8	7	273	84	31	31
1	9	8	274	83	33	32
1	10	9	275	82	33	32
1	11	10	276	81	33	32
1	12	11	277	80	33	32
1	13	12	278	79	33	32
1	14	13	279	78	32	32
1	15	14	280	77	32	32
1	16	15	281	76	33	33
1	17	16	282	75	33	33
1	18	17	283	74	33	33
1	19	18	284	73	33	33
1	20	19	285	72	33	33
1	21	20	286	71	33	33
