;; This is a kahuna data file for the year 2087
;; Comments are indicated by the two semicolons
;; The key of boundaries is Ѿ (next year will be Н)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	26	237	134	223	13	13
8	27	238	135	222	13	13
8	28	239	136	221	13	13
8	29	240	137	220	13	13
8	30	241	138	219	13	13
8	31	242	139	218	13	13
9	1	243	140	217	13	13
9	2	244	141	216	14	14
9	3	245	142	215	14	14
9	4	246	143	214	14	14
9	5	247	144	213	14	14
9	6	248	145	212	14	14
9	7	249	146	211	14	14
9	8	250	147	210	14	14
9	9	251	148	209	15	15
9	10	252	149	208	15	15
9	11	253	150	207	15	15
9	12	254	151	206	15	15
9	13	255	152	205	15	15
9	14	256	153	204	15	15
9	15	257	154	203	15	15
9	16	258	155	202	16	18
9	17	259	156	201	16	18
9	18	260	157	200	16	18
9	19	261	158	199	16	18
9	20	262	159	198	16	18
9	21	263	160	197	16	18
9	22	264	161	196	16	18
9	23	265	162	195	17	19
9	24	266	163	194	17	19
9	25	267	164	193	17	19
9	26	268	165	192	17	19
9	27	269	166	191	17	19
9	28	270	167	190	17	19
9	29	271	168	189	17	19
9	30	272	169	188	18	20
10	1	273	170	187	18	20
10	2	274	171	186	18	20
10	3	275	172	185	18	20
10	4	276	173	184	18	20
10	5	277	174	183	18	20
10	6	278	175	182	18	20
10	7	279	176	181	19	21
10	8	280	177	180	19	21
10	9	281	178	179	19	21
10	10	282	179	178	19	21
10	11	283	180	177	19	21
10	12	284	181	176	19	21
10	13	285	182	175	19	21
10	14	286	183	174	20	22
10	15	287	184	173	20	22
10	16	288	185	172	20	22
10	17	289	186	171	20	22
10	18	290	187	170	20	22
10	19	291	188	169	20	22
10	20	292	189	168	20	22
10	21	293	190	167	21	23
10	22	294	191	166	21	23
10	23	295	192	165	21	23
10	24	296	193	164	21	23
10	25	297	194	163	21	23
10	26	298	195	162	21	23
10	27	299	196	161	21	23
10	28	300	197	160	22	24
10	29	301	198	159	22	24
10	30	302	199	158	22	24
10	31	303	200	157	22	24
11	1	304	201	156	22	24
11	2	305	202	155	22	24
11	3	306	203	154	22	24
11	4	307	204	153	23	25
11	5	308	205	152	23	25
11	6	309	206	151	23	25
11	7	310	207	150	23	25
11	8	311	208	149	23	25
11	9	312	209	148	23	25
11	10	313	210	147	23	25
11	11	314	211	146	24	26
11	12	315	212	145	24	26
11	13	316	213	144	24	26
11	14	317	214	143	24	26
11	15	318	215	142	24	26
11	16	319	216	141	24	26
11	17	320	217	140	24	26
11	18	321	218	139	25	27
11	19	322	219	138	25	27
11	20	323	220	137	25	27
11	21	324	221	136	25	27
11	22	325	222	135	25	27
11	23	326	223	134	25	27
11	24	327	224	133	25	27
11	25	328	225	132	26	28
11	26	329	226	131	26	28
11	27	330	227	130	26	28
11	28	331	228	129	26	28
11	29	332	229	128	26	28
11	30	333	230	127	29	28
12	1	334	231	126	26	30
12	2	335	232	125	27	29
12	3	336	233	124	27	29
12	4	337	234	123	27	29
12	5	338	235	122	27	29
12	6	339	236	121	27	29
12	7	340	237	120	27	31
12	8	341	238	119	27	29
12	9	342	239	118	28	16
12	10	343	240	117	28	16
12	11	344	241	116	28	16
12	12	345	242	115	28	16
12	13	346	243	114	28	16
12	14	347	244	113	28	30
12	15	348	245	112	29	28
12	16	349	246	111	29	30
12	17	350	247	110	29	30
12	18	351	248	109	29	30
12	19	352	249	108	29	30
12	20	353	250	107	29	30
12	21	354	251	106	26	29
12	22	355	252	105	
12	23	356	253	104	30	31
12	24	357	254	103	30	31
12	25	358	255	102	30	31
12	26	359	256	101	30	31
12	27	360	257	100	30	31
12	28	361	258	99	
12	29	362	259	98	28	31
12	30	363	260	97	31	32
12	31	364	261	96	31	32
1	1	0	262	95	31	32
1	2	1	263	94	31	32
1	3	2	264	93	31	32
1	4	3	265	92	30	16
1	5	4	266	91	30	16
1	6	5	267	90	32	33
1	7	6	268	89	32	33
1	8	7	269	88	32	33
1	9	8	270	87	32	33
1	10	9	271	86	32	33
1	11	10	272	85	31	17
1	12	11	273	84	31	17
1	13	12	274	83	33	32
1	14	13	275	82	33	32
1	15	14	276	81	33	32
1	16	15	277	80	33	32
1	17	16	278	79	33	32
1	18	17	279	78	32	32
1	19	18	280	77	32	32
1	20	19	281	76	33	33
1	21	20	282	75	33	33
1	22	21	283	74	33	33
1	23	22	284	73	33	33
1	24	23	285	72	33	33
1	25	24	286	71	33	33
