;; This is a kahuna data file for the year 2084
;; Comments are indicated by the two semicolons
;; The key of boundaries is Ш (next year will be К)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	29	240	134	216	13	13
8	30	241	135	215	13	13
8	31	242	136	214	13	13
9	1	243	137	213	13	13
9	2	244	138	212	13	13
9	3	245	139	211	13	13
9	4	246	140	210	13	13
9	5	247	141	209	14	14
9	6	248	142	208	14	14
9	7	249	143	207	14	14
9	8	250	144	206	14	14
9	9	251	145	205	14	14
9	10	252	146	204	14	14
9	11	253	147	203	14	14
9	12	254	148	202	15	15
9	13	255	149	201	15	15
9	14	256	150	200	15	15
9	15	257	151	199	15	15
9	16	258	152	198	15	15
9	17	259	153	197	15	15
9	18	260	154	196	15	15
9	19	261	155	195	16	18
9	20	262	156	194	16	18
9	21	263	157	193	16	18
9	22	264	158	192	16	18
9	23	265	159	191	16	18
9	24	266	160	190	16	18
9	25	267	161	189	16	18
9	26	268	162	188	17	19
9	27	269	163	187	17	19
9	28	270	164	186	17	19
9	29	271	165	185	17	19
9	30	272	166	184	17	19
10	1	273	167	183	17	19
10	2	274	168	182	17	19
10	3	275	169	181	18	20
10	4	276	170	180	18	20
10	5	277	171	179	18	20
10	6	278	172	178	18	20
10	7	279	173	177	18	20
10	8	280	174	176	18	20
10	9	281	175	175	18	20
10	10	282	176	174	19	21
10	11	283	177	173	19	21
10	12	284	178	172	19	21
10	13	285	179	171	19	21
10	14	286	180	170	19	21
10	15	287	181	169	19	21
10	16	288	182	168	19	21
10	17	289	183	167	20	22
10	18	290	184	166	20	22
10	19	291	185	165	20	22
10	20	292	186	164	20	22
10	21	293	187	163	20	22
10	22	294	188	162	20	22
10	23	295	189	161	20	22
10	24	296	190	160	21	23
10	25	297	191	159	21	23
10	26	298	192	158	21	23
10	27	299	193	157	21	23
10	28	300	194	156	21	23
10	29	301	195	155	21	23
10	30	302	196	154	21	23
10	31	303	197	153	22	24
11	1	304	198	152	22	24
11	2	305	199	151	22	24
11	3	306	200	150	22	24
11	4	307	201	149	22	24
11	5	308	202	148	22	24
11	6	309	203	147	22	24
11	7	310	204	146	23	25
11	8	311	205	145	23	25
11	9	312	206	144	23	25
11	10	313	207	143	23	25
11	11	314	208	142	23	25
11	12	315	209	141	23	25
11	13	316	210	140	23	25
11	14	317	211	139	24	26
11	15	318	212	138	24	26
11	16	319	213	137	24	26
11	17	320	214	136	24	26
11	18	321	215	135	24	26
11	19	322	216	134	24	26
11	20	323	217	133	24	26
11	21	324	218	132	25	27
11	22	325	219	131	25	27
11	23	326	220	130	25	27
11	24	327	221	129	25	27
11	25	328	222	128	25	27
11	26	329	223	127	25	27
11	27	330	224	126	25	27
11	28	331	225	125	26	28
11	29	332	226	124	26	28
11	30	333	227	123	26	28
12	1	334	228	122	26	28
12	2	335	229	121	26	28
12	3	336	230	120	28	28
12	4	337	231	119	26	29
12	5	338	232	118	27	29
12	6	339	233	117	27	29
12	7	340	234	116	27	29
12	8	341	235	115	27	29
12	9	342	236	114	27	29
12	10	343	237	113	27	30
12	11	344	238	112	29	28
12	12	345	239	111	28	16
12	13	346	240	110	28	16
12	14	347	241	109	28	16
12	15	348	242	108	28	16
12	16	349	243	107	28	16
12	17	350	244	106	26	29
12	18	351	245	105	
12	19	352	246	104	29	30
12	20	353	247	103	29	30
12	21	354	248	102	29	30
12	22	355	249	101	29	30
12	23	356	250	100	29	30
12	24	357	251	99	29	31
12	25	358	252	98	
12	26	359	253	97	30	31
12	27	360	254	96	30	31
12	28	361	255	95	30	31
12	29	362	256	94	30	31
12	30	363	257	93	30	31
12	31	364	258	92	30	16
1	1	0	259	91	30	30
1	2	1	260	90	31	32
1	3	2	261	89	31	32
1	4	3	262	88	31	32
1	5	4	263	87	31	32
1	6	5	264	86	31	32
1	7	6	265	85	31	17
1	8	7	266	84	31	31
1	9	8	267	83	32	33
1	10	9	268	82	32	33
1	11	10	269	81	32	33
1	12	11	270	80	32	33
1	13	12	271	79	32	33
1	14	13	272	78	32	32
1	15	14	273	77	32	32
1	16	15	274	76	33	33
1	17	16	275	75	33	33
1	18	17	276	74	33	33
1	19	18	277	73	33	33
1	20	19	278	72	33	33
1	21	20	279	71	33	33
