;; This is a kahuna data file for the year 2062
;; Comments are indicated by the two semicolons
;; The key of boundaries is Ш (next year will be С)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	29	240	134	223	13	13
8	30	241	135	222	13	13
8	31	242	136	221	13	13
9	1	243	137	220	13	13
9	2	244	138	219	13	13
9	3	245	139	218	13	13
9	4	246	140	217	13	13
9	5	247	141	216	14	14
9	6	248	142	215	14	14
9	7	249	143	214	14	14
9	8	250	144	213	14	14
9	9	251	145	212	14	14
9	10	252	146	211	14	14
9	11	253	147	210	14	14
9	12	254	148	209	15	15
9	13	255	149	208	15	15
9	14	256	150	207	15	15
9	15	257	151	206	15	15
9	16	258	152	205	15	15
9	17	259	153	204	15	15
9	18	260	154	203	15	15
9	19	261	155	202	16	18
9	20	262	156	201	16	18
9	21	263	157	200	16	18
9	22	264	158	199	16	18
9	23	265	159	198	16	18
9	24	266	160	197	16	18
9	25	267	161	196	16	18
9	26	268	162	195	17	19
9	27	269	163	194	17	19
9	28	270	164	193	17	19
9	29	271	165	192	17	19
9	30	272	166	191	17	19
10	1	273	167	190	17	19
10	2	274	168	189	17	19
10	3	275	169	188	18	20
10	4	276	170	187	18	20
10	5	277	171	186	18	20
10	6	278	172	185	18	20
10	7	279	173	184	18	20
10	8	280	174	183	18	20
10	9	281	175	182	18	20
10	10	282	176	181	19	21
10	11	283	177	180	19	21
10	12	284	178	179	19	21
10	13	285	179	178	19	21
10	14	286	180	177	19	21
10	15	287	181	176	19	21
10	16	288	182	175	19	21
10	17	289	183	174	20	22
10	18	290	184	173	20	22
10	19	291	185	172	20	22
10	20	292	186	171	20	22
10	21	293	187	170	20	22
10	22	294	188	169	20	22
10	23	295	189	168	20	22
10	24	296	190	167	21	23
10	25	297	191	166	21	23
10	26	298	192	165	21	23
10	27	299	193	164	21	23
10	28	300	194	163	21	23
10	29	301	195	162	21	23
10	30	302	196	161	21	23
10	31	303	197	160	22	24
11	1	304	198	159	22	24
11	2	305	199	158	22	24
11	3	306	200	157	22	24
11	4	307	201	156	22	24
11	5	308	202	155	22	24
11	6	309	203	154	22	24
11	7	310	204	153	23	25
11	8	311	205	152	23	25
11	9	312	206	151	23	25
11	10	313	207	150	23	25
11	11	314	208	149	23	25
11	12	315	209	148	23	25
11	13	316	210	147	23	25
11	14	317	211	146	24	26
11	15	318	212	145	24	26
11	16	319	213	144	24	26
11	17	320	214	143	24	26
11	18	321	215	142	24	26
11	19	322	216	141	24	26
11	20	323	217	140	24	26
11	21	324	218	139	25	27
11	22	325	219	138	25	27
11	23	326	220	137	25	27
11	24	327	221	136	25	27
11	25	328	222	135	25	27
11	26	329	223	134	25	27
11	27	330	224	133	25	27
11	28	331	225	132	26	28
11	29	332	226	131	26	28
11	30	333	227	130	26	28
12	1	334	228	129	26	28
12	2	335	229	128	26	28
12	3	336	230	127	28	28
12	4	337	231	126	26	29
12	5	338	232	125	27	29
12	6	339	233	124	27	29
12	7	340	234	123	27	29
12	8	341	235	122	27	29
12	9	342	236	121	27	29
12	10	343	237	120	27	30
12	11	344	238	119	29	28
12	12	345	239	118	28	16
12	13	346	240	117	28	16
12	14	347	241	116	28	16
12	15	348	242	115	28	16
12	16	349	243	114	28	16
12	17	350	244	113	26	29
12	18	351	245	112	
12	19	352	246	111	29	30
12	20	353	247	110	29	30
12	21	354	248	109	29	30
12	22	355	249	108	29	30
12	23	356	250	107	29	30
12	24	357	251	106	
12	25	358	252	105	
12	26	359	253	104	30	31
12	27	360	254	103	30	31
12	28	361	255	102	30	31
12	29	362	256	101	30	31
12	30	363	257	100	30	31
12	31	364	258	99	29	31
1	1	0	259	98	28	30
1	2	1	260	97	31	32
1	3	2	261	96	31	32
1	4	3	262	95	31	32
1	5	4	263	94	31	32
1	6	5	264	93	31	32
1	7	6	265	92	30	16
1	8	7	266	91	30	31
1	9	8	267	90	32	33
1	10	9	268	89	32	33
1	11	10	269	88	32	33
1	12	11	270	87	32	33
1	13	12	271	86	32	33
1	14	13	272	85	31	17
1	15	14	273	84	31	17
1	16	15	274	83	33	32
1	17	16	275	82	33	32
1	18	17	276	81	33	32
1	19	18	277	80	33	32
1	20	19	278	79	33	32
1	21	20	279	78	32	32
1	22	21	280	77	32	32
1	23	22	281	76	33	33
1	24	23	282	75	33	33
1	25	24	283	74	33	33
1	26	25	284	73	33	33
1	27	26	285	72	33	33
1	28	27	286	71	33	33
