;; This is a kahuna data file for the year 2034
;; Comments are indicated by the two semicolons
;; The key of boundaries is Е (next year will be Ч)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	8	219	134	251	13	13
8	9	220	135	250	13	13
8	10	221	136	249	13	13
8	11	222	137	248	13	13
8	12	223	138	247	13	13
8	13	224	139	246	13	13
8	14	225	140	245	13	13
8	15	226	141	244	14	14
8	16	227	142	243	14	14
8	17	228	143	242	14	14
8	18	229	144	241	14	14
8	19	230	145	240	14	14
8	20	231	146	239	14	14
8	21	232	147	238	14	14
8	22	233	148	237	15	15
8	23	234	149	236	15	15
8	24	235	150	235	15	15
8	25	236	151	234	15	15
8	26	237	152	233	15	15
8	27	238	153	232	15	15
8	28	239	154	231	15	15
8	29	240	155	230	16	16
8	30	241	156	229	16	16
8	31	242	157	228	16	16
9	1	243	158	227	16	16
9	2	244	159	226	16	16
9	3	245	160	225	16	16
9	4	246	161	224	16	16
9	5	247	162	223	17	31
9	6	248	163	222	17	31
9	7	249	164	221	17	31
9	8	250	165	220	17	31
9	9	251	166	219	17	31
9	10	252	167	218	
9	11	253	168	217	17	17
9	12	254	169	216	18	17
9	13	255	170	215	18	17
9	14	256	171	214	18	17
9	15	257	172	213	18	17
9	16	258	173	212	18	17
9	17	259	174	211	
9	18	260	175	210	
9	19	261	176	209	19	18
9	20	262	177	208	19	18
9	21	263	178	207	19	18
9	22	264	179	206	19	18
9	23	265	180	205	19	18
9	24	266	181	204	19	18
9	25	267	182	203	19	18
9	26	268	183	202	20	19
9	27	269	184	201	20	19
9	28	270	185	200	20	19
9	29	271	186	199	20	19
9	30	272	187	198	20	19
10	1	273	188	197	20	19
10	2	274	189	196	20	19
10	3	275	190	195	21	20
10	4	276	191	194	21	20
10	5	277	192	193	21	20
10	6	278	193	192	21	20
10	7	279	194	191	21	20
10	8	280	195	190	21	20
10	9	281	196	189	21	20
10	10	282	197	188	22	21
10	11	283	198	187	22	21
10	12	284	199	186	22	21
10	13	285	200	185	22	21
10	14	286	201	184	22	21
10	15	287	202	183	22	21
10	16	288	203	182	22	21
10	17	289	204	181	23	22
10	18	290	205	180	23	22
10	19	291	206	179	23	22
10	20	292	207	178	23	22
10	21	293	208	177	23	22
10	22	294	209	176	23	22
10	23	295	210	175	23	22
10	24	296	211	174	24	23
10	25	297	212	173	24	23
10	26	298	213	172	24	23
10	27	299	214	171	24	23
10	28	300	215	170	24	23
10	29	301	216	169	24	23
10	30	302	217	168	24	23
10	31	303	218	167	25	24
11	1	304	219	166	25	24
11	2	305	220	165	25	24
11	3	306	221	164	25	24
11	4	307	222	163	25	24
11	5	308	223	162	25	24
11	6	309	224	161	25	24
11	7	310	225	160	26	25
11	8	311	226	159	26	25
11	9	312	227	158	26	25
11	10	313	228	157	26	25
11	11	314	229	156	26	25
11	12	315	230	155	31	25
11	13	316	231	154	26	25
11	14	317	232	153	27	26
11	15	318	233	152	27	26
11	16	319	234	151	27	26
11	17	320	235	150	27	26
11	18	321	236	149	27	26
11	19	322	237	148	27	26
11	20	323	238	147	27	26
11	21	324	239	146	28	27
11	22	325	240	145	28	27
11	23	326	241	144	28	27
11	24	327	242	143	28	27
11	25	328	243	142	28	27
11	26	329	244	141	28	27
11	27	330	245	140	28	27
11	28	331	246	139	29	28
11	29	332	247	138	29	28
11	30	333	248	137	29	28
12	1	334	249	136	29	28
12	2	335	250	135	29	28
12	3	336	251	134	29	28
12	4	337	252	133	30	29
12	5	338	253	132	30	29
12	6	339	254	131	30	29
12	7	340	255	130	30	29
12	8	341	256	129	30	29
12	9	342	257	128	30	29
12	10	343	258	127	30	30
12	11	344	259	126	29	28
12	12	345	260	125	31	30
12	13	346	261	124	31	30
12	14	347	262	123	31	30
12	15	348	263	122	31	30
12	16	349	264	121	31	30
12	17	350	265	120	26	29
12	18	351	266	119	
12	19	352	267	118	32	31
12	20	353	268	117	32	31
12	21	354	269	116	32	31
12	22	355	270	115	32	31
12	23	356	271	114	32	31
12	24	357	272	113	
12	25	358	273	112	
12	26	359	274	111	33	32
12	27	360	275	110	33	32
12	28	361	276	109	33	32
12	29	362	277	108	33	32
12	30	363	278	107	33	32
12	31	364	279	106	
1	1	0	280	105	
1	2	1	281	104	29	33
1	3	2	282	103	29	33
1	4	3	283	102	29	33
1	5	4	284	101	29	33
1	6	5	285	100	29	33
1	7	6	286	99	
1	8	7	287	98	
1	9	8	288	97	30	30
1	10	9	289	96	30	30
1	11	10	290	95	30	30
1	12	11	291	94	30	30
1	13	12	292	93	30	30
1	14	13	293	92	17	31
1	15	14	294	91	31	30
1	16	15	295	90	31	31
1	17	16	296	89	31	31
1	18	17	297	88	31	31
1	19	18	298	87	31	31
1	20	19	299	86	31	31
1	21	20	300	85	18	17
1	22	21	301	84	18	31
1	23	22	302	83	32	32
1	24	23	303	82	32	32
1	25	24	304	81	32	32
1	26	25	305	80	32	32
1	27	26	306	79	32	32
1	28	27	307	78	32	32
1	29	28	308	77	32	32
1	30	29	309	76	33	33
1	31	30	310	75	33	33
2	1	31	311	74	33	33
2	2	32	312	73	33	33
2	3	33	313	72	33	33
2	4	34	314	71	33	33
