;; This is a kahuna data file for the year 2024
;; Comments are indicated by the two semicolons
;; The key of boundaries is Ѣ (next year will be П)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
9	3	245	134	216	13	13
9	4	246	135	215	13	13
9	5	247	136	214	13	13
9	6	248	137	213	13	13
9	7	249	138	212	13	13
9	8	250	139	211	13	13
9	9	251	140	210	13	13
9	10	252	141	209	14	14
9	11	253	142	208	14	14
9	12	254	143	207	14	14
9	13	255	144	206	14	14
9	14	256	145	205	14	14
9	15	257	146	204	14	14
9	16	258	147	203	14	14
9	17	259	148	202	15	18
9	18	260	149	201	15	18
9	19	261	150	200	15	18
9	20	262	151	199	15	18
9	21	263	152	198	15	18
9	22	264	153	197	15	18
9	23	265	154	196	15	18
9	24	266	155	195	16	19
9	25	267	156	194	16	19
9	26	268	157	193	16	19
9	27	269	158	192	16	19
9	28	270	159	191	16	19
9	29	271	160	190	16	19
9	30	272	161	189	16	19
10	1	273	162	188	17	20
10	2	274	163	187	17	20
10	3	275	164	186	17	20
10	4	276	165	185	17	20
10	5	277	166	184	17	20
10	6	278	167	183	17	20
10	7	279	168	182	17	20
10	8	280	169	181	18	21
10	9	281	170	180	18	21
10	10	282	171	179	18	21
10	11	283	172	178	18	21
10	12	284	173	177	18	21
10	13	285	174	176	18	21
10	14	286	175	175	18	21
10	15	287	176	174	19	22
10	16	288	177	173	19	22
10	17	289	178	172	19	22
10	18	290	179	171	19	22
10	19	291	180	170	19	22
10	20	292	181	169	19	22
10	21	293	182	168	19	22
10	22	294	183	167	20	23
10	23	295	184	166	20	23
10	24	296	185	165	20	23
10	25	297	186	164	20	23
10	26	298	187	163	20	23
10	27	299	188	162	20	23
10	28	300	189	161	20	23
10	29	301	190	160	21	24
10	30	302	191	159	21	24
10	31	303	192	158	21	24
11	1	304	193	157	21	24
11	2	305	194	156	21	24
11	3	306	195	155	21	24
11	4	307	196	154	21	24
11	5	308	197	153	22	25
11	6	309	198	152	22	25
11	7	310	199	151	22	25
11	8	311	200	150	22	25
11	9	312	201	149	22	25
11	10	313	202	148	22	25
11	11	314	203	147	22	25
11	12	315	204	146	23	26
11	13	316	205	145	23	26
11	14	317	206	144	23	26
11	15	318	207	143	23	26
11	16	319	208	142	23	26
11	17	320	209	141	23	26
11	18	321	210	140	23	26
11	19	322	211	139	24	27
11	20	323	212	138	24	27
11	21	324	213	137	24	27
11	22	325	214	136	24	27
11	23	326	215	135	24	27
11	24	327	216	134	24	27
11	25	328	217	133	24	27
11	26	329	218	132	25	28
11	27	330	219	131	25	28
11	28	331	220	130	25	28
11	29	332	221	129	25	28
11	30	333	222	128	25	28
12	1	334	223	127	25	28
12	2	335	224	126	25	30
12	3	336	225	125	26	29
12	4	337	226	124	26	29
12	5	338	227	123	26	29
12	6	339	228	122	26	29
12	7	340	229	121	26	29
12	8	341	230	120	28	31
12	9	342	231	119	26	29
12	10	343	232	118	27	15
12	11	344	233	117	27	15
12	12	345	234	116	27	15
12	13	346	235	115	27	15
12	14	347	236	114	27	15
12	15	348	237	113	27	30
12	16	349	238	112	29	28
12	17	350	239	111	28	16
12	18	351	240	110	28	16
12	19	352	241	109	28	16
12	20	353	242	108	28	16
12	21	354	243	107	28	16
12	22	355	244	106	26	29
12	23	356	245	105	
12	24	357	246	104	29	30
12	25	358	247	103	29	30
12	26	359	248	102	29	30
12	27	360	249	101	29	30
12	28	361	250	100	29	30
12	29	362	251	99	29	15
12	30	363	252	98	27	31
12	31	364	253	97	30	31
1	1	0	254	96	30	31
1	2	1	255	95	30	31
1	3	2	256	94	30	31
1	4	3	257	93	30	31
1	5	4	258	92	30	16
1	6	5	259	91	
1	7	6	260	90	31	32
1	8	7	261	89	31	32
1	9	8	262	88	31	32
1	10	9	263	87	31	32
1	11	10	264	86	31	32
1	12	11	265	85	31	17
1	13	12	266	84	31	17
1	14	13	267	83	32	33
1	15	14	268	82	32	33
1	16	15	269	81	32	33
1	17	16	270	80	32	33
1	18	17	271	79	32	33
1	19	18	272	78	32	32
1	20	19	273	77	32	32
1	21	20	274	76	33	33
1	22	21	275	75	33	33
1	23	22	276	74	33	33
1	24	23	277	73	33	33
1	25	24	278	72	33	33
1	26	25	279	71	33	33
