;; This is a kahuna data file for the year 2338
;; Comments are indicated by the two semicolons
;; The key of boundaries is І (next year will be Ѿ)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	13	224	134	244	13	13
8	14	225	135	243	13	13
8	15	226	136	242	13	13
8	16	227	137	241	13	13
8	17	228	138	240	13	13
8	18	229	139	239	13	13
8	19	230	140	238	13	13
8	20	231	141	237	14	14
8	21	232	142	236	14	14
8	22	233	143	235	14	14
8	23	234	144	234	14	14
8	24	235	145	233	14	14
8	25	236	146	232	14	14
8	26	237	147	231	14	14
8	27	238	148	230	15	15
8	28	239	149	229	15	15
8	29	240	150	228	15	15
8	30	241	151	227	15	15
8	31	242	152	226	15	15
9	1	243	153	225	15	15
9	2	244	154	224	15	15
9	3	245	155	223	16	16
9	4	246	156	222	16	16
9	5	247	157	221	16	16
9	6	248	158	220	16	16
9	7	249	159	219	16	16
9	8	250	160	218	16	16
9	9	251	161	217	16	16
9	10	252	162	216	17	17
9	11	253	163	215	17	17
9	12	254	164	214	17	17
9	13	255	165	213	17	17
9	14	256	166	212	17	17
9	15	257	167	211	
9	16	258	168	210	17	17
9	17	259	169	209	18	18
9	18	260	170	208	18	18
9	19	261	171	207	18	18
9	20	262	172	206	18	18
9	21	263	173	205	18	18
9	22	264	174	204	18	18
9	23	265	175	203	18	18
9	24	266	176	202	19	19
9	25	267	177	201	19	19
9	26	268	178	200	19	19
9	27	269	179	199	19	19
9	28	270	180	198	19	19
9	29	271	181	197	19	19
9	30	272	182	196	19	19
10	1	273	183	195	20	20
10	2	274	184	194	20	20
10	3	275	185	193	20	20
10	4	276	186	192	20	20
10	5	277	187	191	20	20
10	6	278	188	190	20	20
10	7	279	189	189	20	20
10	8	280	190	188	21	21
10	9	281	191	187	21	21
10	10	282	192	186	21	21
10	11	283	193	185	21	21
10	12	284	194	184	21	21
10	13	285	195	183	21	21
10	14	286	196	182	21	21
10	15	287	197	181	22	22
10	16	288	198	180	22	22
10	17	289	199	179	22	22
10	18	290	200	178	22	22
10	19	291	201	177	22	22
10	20	292	202	176	22	22
10	21	293	203	175	22	22
10	22	294	204	174	23	23
10	23	295	205	173	23	23
10	24	296	206	172	23	23
10	25	297	207	171	23	23
10	26	298	208	170	23	23
10	27	299	209	169	23	23
10	28	300	210	168	23	23
10	29	301	211	167	24	24
10	30	302	212	166	24	24
10	31	303	213	165	24	24
11	1	304	214	164	24	24
11	2	305	215	163	24	24
11	3	306	216	162	24	24
11	4	307	217	161	24	24
11	5	308	218	160	25	25
11	6	309	219	159	25	25
11	7	310	220	158	25	25
11	8	311	221	157	25	25
11	9	312	222	156	25	25
11	10	313	223	155	25	25
11	11	314	224	154	25	25
11	12	315	225	153	26	26
11	13	316	226	152	26	26
11	14	317	227	151	26	26
11	15	318	228	150	26	26
11	16	319	229	149	26	26
11	17	320	230	148	31	26
11	18	321	231	147	26	26
11	19	322	232	146	27	27
11	20	323	233	145	27	27
11	21	324	234	144	27	27
11	22	325	235	143	27	27
11	23	326	236	142	27	27
11	24	327	237	141	27	27
11	25	328	238	140	27	27
11	26	329	239	139	28	28
11	27	330	240	138	28	28
11	28	331	241	137	28	28
11	29	332	242	136	28	28
11	30	333	243	135	28	28
12	1	334	244	134	28	28
12	2	335	245	133	28	30
12	3	336	246	132	29	29
12	4	337	247	131	29	29
12	5	338	248	130	29	29
12	6	339	249	129	29	29
12	7	340	250	128	29	29
12	8	341	251	127	29	31
12	9	342	252	126	30	29
12	10	343	253	125	30	30
12	11	344	254	124	30	30
12	12	345	255	123	30	30
12	13	346	256	122	30	30
12	14	347	257	121	30	30
12	15	348	258	120	30	30
12	16	349	259	119	29	28
12	17	350	260	118	31	31
12	18	351	261	117	31	31
12	19	352	262	116	31	31
12	20	353	263	115	31	31
12	21	354	264	114	31	31
12	22	355	265	113	26	29
12	23	356	266	112	
12	24	357	267	111	32	32
12	25	358	268	110	32	32
12	26	359	269	109	32	32
12	27	360	270	108	32	32
12	28	361	271	107	32	32
12	29	362	272	106	
12	30	363	273	105	
12	31	364	274	104	33	33
1	1	0	275	103	33	33
1	2	1	276	102	33	33
1	3	2	277	101	33	33
1	4	3	278	100	33	33
1	5	4	279	99	
1	6	5	280	98	
1	7	6	281	97	30	30
1	8	7	282	96	30	30
1	9	8	283	95	30	30
1	10	9	284	94	30	30
1	11	10	285	93	30	30
1	12	11	286	92	
1	13	12	287	91	
1	14	13	288	90	31	31
1	15	14	289	89	31	31
1	16	15	290	88	31	31
1	17	16	291	87	31	31
1	18	17	292	86	31	31
1	19	18	293	85	17	17
1	20	19	294	84	31	31
1	21	20	295	83	32	32
1	22	21	296	82	32	32
1	23	22	297	81	32	32
1	24	23	298	80	32	32
1	25	24	299	79	32	32
1	26	25	300	78	32	32
1	27	26	301	77	32	32
1	28	27	302	76	33	33
1	29	28	303	75	33	33
1	30	29	304	74	33	33
1	31	30	305	73	33	33
2	1	31	306	72	33	33
2	2	32	307	71	33	33
