;; This is a kahuna data file for the year 2058
;; Comments are indicated by the two semicolons
;; The key of boundaries is І (next year will be Ь)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	13	224	134	251	13	13
8	14	225	135	250	13	13
8	15	226	136	249	13	13
8	16	227	137	248	13	13
8	17	228	138	247	13	13
8	18	229	139	246	13	13
8	19	230	140	245	13	13
8	20	231	141	244	14	14
8	21	232	142	243	14	14
8	22	233	143	242	14	14
8	23	234	144	241	14	14
8	24	235	145	240	14	14
8	25	236	146	239	14	14
8	26	237	147	238	14	14
8	27	238	148	237	15	15
8	28	239	149	236	15	15
8	29	240	150	235	15	15
8	30	241	151	234	15	15
8	31	242	152	233	15	15
9	1	243	153	232	15	15
9	2	244	154	231	15	15
9	3	245	155	230	16	16
9	4	246	156	229	16	16
9	5	247	157	228	16	16
9	6	248	158	227	16	16
9	7	249	159	226	16	16
9	8	250	160	225	16	16
9	9	251	161	224	16	16
9	10	252	162	223	17	17
9	11	253	163	222	17	17
9	12	254	164	221	17	17
9	13	255	165	220	17	17
9	14	256	166	219	17	17
9	15	257	167	218	
9	16	258	168	217	
9	17	259	169	216	18	18
9	18	260	170	215	18	18
9	19	261	171	214	18	18
9	20	262	172	213	18	18
9	21	263	173	212	18	18
9	22	264	174	211	18	18
9	23	265	175	210	18	18
9	24	266	176	209	19	19
9	25	267	177	208	19	19
9	26	268	178	207	19	19
9	27	269	179	206	19	19
9	28	270	180	205	19	19
9	29	271	181	204	19	19
9	30	272	182	203	19	19
10	1	273	183	202	20	20
10	2	274	184	201	20	20
10	3	275	185	200	20	20
10	4	276	186	199	20	20
10	5	277	187	198	20	20
10	6	278	188	197	20	20
10	7	279	189	196	20	20
10	8	280	190	195	21	21
10	9	281	191	194	21	21
10	10	282	192	193	21	21
10	11	283	193	192	21	21
10	12	284	194	191	21	21
10	13	285	195	190	21	21
10	14	286	196	189	21	21
10	15	287	197	188	22	22
10	16	288	198	187	22	22
10	17	289	199	186	22	22
10	18	290	200	185	22	22
10	19	291	201	184	22	22
10	20	292	202	183	22	22
10	21	293	203	182	22	22
10	22	294	204	181	23	23
10	23	295	205	180	23	23
10	24	296	206	179	23	23
10	25	297	207	178	23	23
10	26	298	208	177	23	23
10	27	299	209	176	23	23
10	28	300	210	175	23	23
10	29	301	211	174	24	24
10	30	302	212	173	24	24
10	31	303	213	172	24	24
11	1	304	214	171	24	24
11	2	305	215	170	24	24
11	3	306	216	169	24	24
11	4	307	217	168	24	24
11	5	308	218	167	25	25
11	6	309	219	166	25	25
11	7	310	220	165	25	25
11	8	311	221	164	25	25
11	9	312	222	163	25	25
11	10	313	223	162	25	25
11	11	314	224	161	25	25
11	12	315	225	160	26	26
11	13	316	226	159	26	26
11	14	317	227	158	26	26
11	15	318	228	157	26	26
11	16	319	229	156	26	26
11	17	320	230	155	31	26
11	18	321	231	154	26	26
11	19	322	232	153	27	27
11	20	323	233	152	27	27
11	21	324	234	151	27	27
11	22	325	235	150	27	27
11	23	326	236	149	27	27
11	24	327	237	148	27	27
11	25	328	238	147	27	27
11	26	329	239	146	28	28
11	27	330	240	145	28	28
11	28	331	241	144	28	28
11	29	332	242	143	28	28
11	30	333	243	142	28	28
12	1	334	244	141	28	28
12	2	335	245	140	28	30
12	3	336	246	139	29	29
12	4	337	247	138	29	29
12	5	338	248	137	29	29
12	6	339	249	136	29	29
12	7	340	250	135	29	29
12	8	341	251	134	29	31
12	9	342	252	133	30	29
12	10	343	253	132	30	30
12	11	344	254	131	30	30
12	12	345	255	130	30	30
12	13	346	256	129	30	30
12	14	347	257	128	30	30
12	15	348	258	127	30	30
12	16	349	259	126	29	28
12	17	350	260	125	31	31
12	18	351	261	124	31	31
12	19	352	262	123	31	31
12	20	353	263	122	31	31
12	21	354	264	121	31	31
12	22	355	265	120	26	29
12	23	356	266	119	
12	24	357	267	118	32	32
12	25	358	268	117	32	32
12	26	359	269	116	32	32
12	27	360	270	115	32	32
12	28	361	271	114	32	32
12	29	362	272	113	
12	30	363	273	112	
12	31	364	274	111	33	33
1	1	0	275	110	33	33
1	2	1	276	109	33	33
1	3	2	277	108	33	33
1	4	3	278	107	33	33
1	5	4	279	106	
1	6	5	280	105	
1	7	6	281	104	29	29
1	8	7	282	103	29	29
1	9	8	283	102	29	29
1	10	9	284	101	29	29
1	11	10	285	100	29	29
1	12	11	286	99	
1	13	12	287	98	
1	14	13	288	97	30	30
1	15	14	289	96	30	30
1	16	15	290	95	30	30
1	17	16	291	94	30	30
1	18	17	292	93	30	30
1	19	18	293	92	16	16
1	20	19	294	91	31	31
1	21	20	295	90	31	31
1	22	21	296	89	31	31
1	23	22	297	88	31	31
1	24	23	298	87	31	31
1	25	24	299	86	31	31
1	26	25	300	85	17	17
1	27	26	301	84	17	17
1	28	27	302	83	32	32
1	29	28	303	82	32	32
1	30	29	304	81	32	32
1	31	30	305	80	32	32
2	1	31	306	79	32	32
2	2	32	307	78	32	32
2	3	33	308	77	32	32
2	4	34	309	76	33	33
2	5	35	310	75	33	33
2	6	36	311	74	33	33
2	7	37	312	73	33	33
2	8	38	313	72	33	33
2	9	39	314	71	33	33
