;; This is a kahuna data file for the year 2088
;; Comments are indicated by the two semicolons
;; The key of boundaries is Н (next year will be Щ)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	17	228	134	244	13	13
8	18	229	135	243	13	13
8	19	230	136	242	13	13
8	20	231	137	241	13	13
8	21	232	138	240	13	13
8	22	233	139	239	13	13
8	23	234	140	238	13	13
8	24	235	141	237	14	14
8	25	236	142	236	14	14
8	26	237	143	235	14	14
8	27	238	144	234	14	14
8	28	239	145	233	14	14
8	29	240	146	232	14	14
8	30	241	147	231	14	14
8	31	242	148	230	15	15
9	1	243	149	229	15	15
9	2	244	150	228	15	15
9	3	245	151	227	15	15
9	4	246	152	226	15	15
9	5	247	153	225	15	15
9	6	248	154	224	15	15
9	7	249	155	223	16	16
9	8	250	156	222	16	16
9	9	251	157	221	16	16
9	10	252	158	220	16	16
9	11	253	159	219	16	16
9	12	254	160	218	16	16
9	13	255	161	217	16	16
9	14	256	162	216	17	17
9	15	257	163	215	17	17
9	16	258	164	214	17	17
9	17	259	165	213	17	17
9	18	260	166	212	17	17
9	19	261	167	211	
9	20	262	168	210	17	17
9	21	263	169	209	18	18
9	22	264	170	208	18	18
9	23	265	171	207	18	18
9	24	266	172	206	18	18
9	25	267	173	205	18	18
9	26	268	174	204	18	18
9	27	269	175	203	18	18
9	28	270	176	202	19	19
9	29	271	177	201	19	19
9	30	272	178	200	19	19
10	1	273	179	199	19	19
10	2	274	180	198	19	19
10	3	275	181	197	19	19
10	4	276	182	196	19	19
10	5	277	183	195	20	20
10	6	278	184	194	20	20
10	7	279	185	193	20	20
10	8	280	186	192	20	20
10	9	281	187	191	20	20
10	10	282	188	190	20	20
10	11	283	189	189	20	20
10	12	284	190	188	21	21
10	13	285	191	187	21	21
10	14	286	192	186	21	21
10	15	287	193	185	21	21
10	16	288	194	184	21	21
10	17	289	195	183	21	21
10	18	290	196	182	21	21
10	19	291	197	181	22	22
10	20	292	198	180	22	22
10	21	293	199	179	22	22
10	22	294	200	178	22	22
10	23	295	201	177	22	22
10	24	296	202	176	22	22
10	25	297	203	175	22	22
10	26	298	204	174	23	23
10	27	299	205	173	23	23
10	28	300	206	172	23	23
10	29	301	207	171	23	23
10	30	302	208	170	23	23
10	31	303	209	169	23	23
11	1	304	210	168	23	23
11	2	305	211	167	24	24
11	3	306	212	166	24	24
11	4	307	213	165	24	24
11	5	308	214	164	24	24
11	6	309	215	163	24	24
11	7	310	216	162	24	24
11	8	311	217	161	24	24
11	9	312	218	160	25	25
11	10	313	219	159	25	25
11	11	314	220	158	25	25
11	12	315	221	157	25	25
11	13	316	222	156	25	25
11	14	317	223	155	25	25
11	15	318	224	154	25	25
11	16	319	225	153	26	26
11	17	320	226	152	26	26
11	18	321	227	151	26	26
11	19	322	228	150	26	26
11	20	323	229	149	26	26
11	21	324	230	148	30	26
11	22	325	231	147	26	26
11	23	326	232	146	27	27
11	24	327	233	145	27	27
11	25	328	234	144	27	27
11	26	329	235	143	27	27
11	27	330	236	142	27	27
11	28	331	237	141	27	27
11	29	332	238	140	27	27
11	30	333	239	139	28	28
12	1	334	240	138	28	28
12	2	335	241	137	28	28
12	3	336	242	136	28	28
12	4	337	243	135	28	28
12	5	338	244	134	28	28
12	6	339	245	133	28	29
12	7	340	246	132	29	29
12	8	341	247	131	29	29
12	9	342	248	130	29	29
12	10	343	249	129	29	29
12	11	344	250	128	29	29
12	12	345	251	127	29	30
12	13	346	252	126	29	28
12	14	347	253	125	30	30
12	15	348	254	124	30	30
12	16	349	255	123	30	30
12	17	350	256	122	30	30
12	18	351	257	121	30	30
12	19	352	258	120	26	29
12	20	353	259	119	
12	21	354	260	118	31	31
12	22	355	261	117	31	31
12	23	356	262	116	31	31
12	24	357	263	115	31	31
12	25	358	264	114	31	31
12	26	359	265	113	
12	27	360	266	112	
12	28	361	267	111	32	32
12	29	362	268	110	32	32
12	30	363	269	109	32	32
12	31	364	270	108	32	32
1	1	0	271	107	32	32
1	2	1	272	106	
1	3	2	273	105	
1	4	3	274	104	33	33
1	5	4	275	103	33	33
1	6	5	276	102	33	33
1	7	6	277	101	33	33
1	8	7	278	100	33	33
1	9	8	279	99	
1	10	9	280	98	
1	11	10	281	97	30	30
1	12	11	282	96	30	30
1	13	12	283	95	30	30
1	14	13	284	94	30	30
1	15	14	285	93	30	30
1	16	15	286	92	31	31
1	17	16	287	91	30	30
1	18	17	288	90	31	31
1	19	18	289	89	31	31
1	20	19	290	88	31	31
1	21	20	291	87	31	31
1	22	21	292	86	31	31
1	23	22	293	85	17	17
1	24	23	294	84	31	31
1	25	24	295	83	32	32
1	26	25	296	82	32	32
1	27	26	297	81	32	32
1	28	27	298	80	32	32
1	29	28	299	79	32	32
1	30	29	300	78	32	32
1	31	30	301	77	32	32
2	1	31	302	76	33	33
2	2	32	303	75	33	33
2	3	33	304	74	33	33
2	4	34	305	73	33	33
2	5	35	306	72	33	33
2	6	36	307	71	33	33
