;; This is a kahuna data file for the year 2077
;; Comments are indicated by the two semicolons
;; The key of boundaries is Н (next year will be Ѧ)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	17	228	134	251	13	13
8	18	229	135	250	13	13
8	19	230	136	249	13	13
8	20	231	137	248	13	13
8	21	232	138	247	13	13
8	22	233	139	246	13	13
8	23	234	140	245	13	13
8	24	235	141	244	14	14
8	25	236	142	243	14	14
8	26	237	143	242	14	14
8	27	238	144	241	14	14
8	28	239	145	240	14	14
8	29	240	146	239	14	14
8	30	241	147	238	14	14
8	31	242	148	237	15	15
9	1	243	149	236	15	15
9	2	244	150	235	15	15
9	3	245	151	234	15	15
9	4	246	152	233	15	15
9	5	247	153	232	15	15
9	6	248	154	231	15	15
9	7	249	155	230	16	16
9	8	250	156	229	16	16
9	9	251	157	228	16	16
9	10	252	158	227	16	16
9	11	253	159	226	16	16
9	12	254	160	225	
9	13	255	161	224	16	16
9	14	256	162	223	17	17
9	15	257	163	222	17	17
9	16	258	164	221	17	17
9	17	259	165	220	17	17
9	18	260	166	219	17	17
9	19	261	167	218	
9	20	262	168	217	
9	21	263	169	216	18	18
9	22	264	170	215	18	18
9	23	265	171	214	18	18
9	24	266	172	213	18	18
9	25	267	173	212	18	18
9	26	268	174	211	18	18
9	27	269	175	210	18	18
9	28	270	176	209	19	19
9	29	271	177	208	19	19
9	30	272	178	207	19	19
10	1	273	179	206	19	19
10	2	274	180	205	19	19
10	3	275	181	204	19	19
10	4	276	182	203	19	19
10	5	277	183	202	20	20
10	6	278	184	201	20	20
10	7	279	185	200	20	20
10	8	280	186	199	20	20
10	9	281	187	198	20	20
10	10	282	188	197	20	20
10	11	283	189	196	20	20
10	12	284	190	195	21	21
10	13	285	191	194	21	21
10	14	286	192	193	21	21
10	15	287	193	192	21	21
10	16	288	194	191	21	21
10	17	289	195	190	21	21
10	18	290	196	189	21	21
10	19	291	197	188	22	22
10	20	292	198	187	22	22
10	21	293	199	186	22	22
10	22	294	200	185	22	22
10	23	295	201	184	22	22
10	24	296	202	183	22	22
10	25	297	203	182	22	22
10	26	298	204	181	23	23
10	27	299	205	180	23	23
10	28	300	206	179	23	23
10	29	301	207	178	23	23
10	30	302	208	177	23	23
10	31	303	209	176	23	23
11	1	304	210	175	23	23
11	2	305	211	174	24	24
11	3	306	212	173	24	24
11	4	307	213	172	24	24
11	5	308	214	171	24	24
11	6	309	215	170	24	24
11	7	310	216	169	24	24
11	8	311	217	168	24	24
11	9	312	218	167	25	25
11	10	313	219	166	25	25
11	11	314	220	165	25	25
11	12	315	221	164	25	25
11	13	316	222	163	25	25
11	14	317	223	162	25	25
11	15	318	224	161	25	25
11	16	319	225	160	26	26
11	17	320	226	159	26	26
11	18	321	227	158	26	26
11	19	322	228	157	26	26
11	20	323	229	156	26	26
11	21	324	230	155	30	26
11	22	325	231	154	26	26
11	23	326	232	153	27	27
11	24	327	233	152	27	27
11	25	328	234	151	27	27
11	26	329	235	150	27	27
11	27	330	236	149	27	27
11	28	331	237	148	27	27
11	29	332	238	147	27	27
11	30	333	239	146	28	28
12	1	334	240	145	28	28
12	2	335	241	144	28	28
12	3	336	242	143	28	28
12	4	337	243	142	28	28
12	5	338	244	141	28	28
12	6	339	245	140	28	29
12	7	340	246	139	29	29
12	8	341	247	138	29	29
12	9	342	248	137	29	29
12	10	343	249	136	29	29
12	11	344	250	135	29	29
12	12	345	251	134	29	30
12	13	346	252	133	29	28
12	14	347	253	132	30	30
12	15	348	254	131	30	30
12	16	349	255	130	30	30
12	17	350	256	129	30	30
12	18	351	257	128	30	30
12	19	352	258	127	26	29
12	20	353	259	126	
12	21	354	260	125	31	31
12	22	355	261	124	31	31
12	23	356	262	123	31	31
12	24	357	263	122	31	31
12	25	358	264	121	31	31
12	26	359	265	120	
12	27	360	266	119	
12	28	361	267	118	32	32
12	29	362	268	117	32	32
12	30	363	269	116	32	32
12	31	364	270	115	32	32
1	1	0	271	114	32	32
1	2	1	272	113	
1	3	2	273	112	
1	4	3	274	111	33	33
1	5	4	275	110	33	33
1	6	5	276	109	33	33
1	7	6	277	108	33	33
1	8	7	278	107	33	33
1	9	8	279	106	
1	10	9	280	105	
1	11	10	281	104	29	29
1	12	11	282	103	29	29
1	13	12	283	102	29	29
1	14	13	284	101	29	29
1	15	14	285	100	29	29
1	16	15	286	99	31	31
1	17	16	287	98	30	30
1	18	17	288	97	30	30
1	19	18	289	96	30	30
1	20	19	290	95	30	30
1	21	20	291	94	30	30
1	22	21	292	93	30	30
1	23	22	293	92	16	16
1	24	23	294	91	31	31
1	25	24	295	90	31	31
1	26	25	296	89	31	31
1	27	26	297	88	31	31
1	28	27	298	87	31	31
1	29	28	299	86	31	31
1	30	29	300	85	17	17
1	31	30	301	84	17	17
2	1	31	302	83	32	32
2	2	32	303	82	32	32
2	3	33	304	81	32	32
2	4	34	305	80	32	32
2	5	35	306	79	32	32
2	6	36	307	78	32	32
2	7	37	308	77	32	32
2	8	38	309	76	33	33
2	9	39	310	75	33	33
2	10	40	311	74	33	33
2	11	41	312	73	33	33
2	12	42	313	72	33	33
2	13	43	314	71	33	33
