;; This is a kahuna data file for the year 2104
;; Comments are indicated by the two semicolons
;; The key of boundaries is О (next year will be А)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	18	229	134	216	13	13
8	19	230	135	215	13	13
8	20	231	136	214	13	13
8	21	232	137	213	13	13
8	22	233	138	212	13	13
8	23	234	139	211	13	13
8	24	235	140	210	13	13
8	25	236	141	209	14	14
8	26	237	142	208	14	14
8	27	238	143	207	14	14
8	28	239	144	206	14	14
8	29	240	145	205	14	14
8	30	241	146	204	14	14
8	31	242	147	203	14	14
9	1	243	148	202	15	15
9	2	244	149	201	15	15
9	3	245	150	200	15	15
9	4	246	151	199	15	15
9	5	247	152	198	15	15
9	6	248	153	197	15	15
9	7	249	154	196	15	15
9	8	250	155	195	16	16
9	9	251	156	194	16	16
9	10	252	157	193	16	16
9	11	253	158	192	16	16
9	12	254	159	191	16	16
9	13	255	160	190	16	16
9	14	256	161	189	
9	15	257	162	188	17	17
9	16	258	163	187	17	17
9	17	259	164	186	17	17
9	18	260	165	185	17	17
9	19	261	166	184	17	17
9	20	262	167	183	17	17
9	21	263	168	182	17	17
9	22	264	169	181	18	18
9	23	265	170	180	18	18
9	24	266	171	179	18	18
9	25	267	172	178	18	18
9	26	268	173	177	18	18
9	27	269	174	176	18	18
9	28	270	175	175	18	18
9	29	271	176	174	19	19
9	30	272	177	173	19	19
10	1	273	178	172	19	19
10	2	274	179	171	19	19
10	3	275	180	170	19	19
10	4	276	181	169	19	19
10	5	277	182	168	19	19
10	6	278	183	167	20	20
10	7	279	184	166	20	20
10	8	280	185	165	20	20
10	9	281	186	164	20	20
10	10	282	187	163	20	20
10	11	283	188	162	20	20
10	12	284	189	161	20	20
10	13	285	190	160	21	21
10	14	286	191	159	21	21
10	15	287	192	158	21	21
10	16	288	193	157	21	21
10	17	289	194	156	21	21
10	18	290	195	155	21	21
10	19	291	196	154	21	21
10	20	292	197	153	22	22
10	21	293	198	152	22	22
10	22	294	199	151	22	22
10	23	295	200	150	22	22
10	24	296	201	149	22	22
10	25	297	202	148	22	22
10	26	298	203	147	22	22
10	27	299	204	146	23	23
10	28	300	205	145	23	23
10	29	301	206	144	23	23
10	30	302	207	143	23	23
10	31	303	208	142	23	23
11	1	304	209	141	23	23
11	2	305	210	140	23	23
11	3	306	211	139	24	24
11	4	307	212	138	24	24
11	5	308	213	137	24	24
11	6	309	214	136	24	24
11	7	310	215	135	24	24
11	8	311	216	134	24	24
11	9	312	217	133	24	24
11	10	313	218	132	25	25
11	11	314	219	131	25	25
11	12	315	220	130	25	25
11	13	316	221	129	25	25
11	14	317	222	128	25	25
11	15	318	223	127	25	25
11	16	319	224	126	25	25
11	17	320	225	125	26	26
11	18	321	226	124	26	26
11	19	322	227	123	26	26
11	20	323	228	122	26	26
11	21	324	229	121	26	26
11	22	325	230	120	30	26
11	23	326	231	119	26	26
11	24	327	232	118	27	27
11	25	328	233	117	27	27
11	26	329	234	116	27	27
11	27	330	235	115	27	27
11	28	331	236	114	27	27
11	29	332	237	113	27	27
11	30	333	238	112	27	27
12	1	334	239	111	28	28
12	2	335	240	110	28	28
12	3	336	241	109	28	28
12	4	337	242	108	28	28
12	5	338	243	107	28	28
12	6	339	244	106	28	28
12	7	340	245	105	28	29
12	8	341	246	104	29	29
12	9	342	247	103	29	29
12	10	343	248	102	29	29
12	11	344	249	101	29	29
12	12	345	250	100	29	29
12	13	346	251	99	29	30
12	14	347	252	98	29	28
12	15	348	253	97	30	30
12	16	349	254	96	30	30
12	17	350	255	95	30	30
12	18	351	256	94	30	30
12	19	352	257	93	30	30
12	20	353	258	92	26	29
12	21	354	259	91	
12	22	355	260	90	31	31
12	23	356	261	89	31	31
12	24	357	262	88	31	31
12	25	358	263	87	31	31
12	26	359	264	86	31	31
12	27	360	265	85	31	31
12	28	361	266	84	31	31
12	29	362	267	83	32	32
12	30	363	268	82	32	32
12	31	364	269	81	32	32
1	1	0	270	80	32	32
1	2	1	271	79	32	32
1	3	2	272	78	32	32
1	4	3	273	77	32	32
1	5	4	274	76	33	33
1	6	5	275	75	33	33
1	7	6	276	74	33	33
1	8	7	277	73	33	33
1	9	8	278	72	33	33
1	10	9	279	71	33	33
