;; This is a kahuna data file for the year 2071
;; Comments are indicated by the two semicolons
;; The key of boundaries is О (next year will be Ж)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	18	229	134	223	13	13
8	19	230	135	222	13	13
8	20	231	136	221	13	13
8	21	232	137	220	13	13
8	22	233	138	219	13	13
8	23	234	139	218	13	13
8	24	235	140	217	13	13
8	25	236	141	216	14	14
8	26	237	142	215	14	14
8	27	238	143	214	14	14
8	28	239	144	213	14	14
8	29	240	145	212	14	14
8	30	241	146	211	14	14
8	31	242	147	210	14	14
9	1	243	148	209	15	15
9	2	244	149	208	15	15
9	3	245	150	207	15	15
9	4	246	151	206	15	15
9	5	247	152	205	15	15
9	6	248	153	204	15	15
9	7	249	154	203	15	15
9	8	250	155	202	16	16
9	9	251	156	201	16	16
9	10	252	157	200	16	16
9	11	253	158	199	16	16
9	12	254	159	198	16	16
9	13	255	160	197	16	16
9	14	256	161	196	
9	15	257	162	195	17	17
9	16	258	163	194	17	17
9	17	259	164	193	17	17
9	18	260	165	192	17	17
9	19	261	166	191	17	17
9	20	262	167	190	17	17
9	21	263	168	189	17	17
9	22	264	169	188	18	18
9	23	265	170	187	18	18
9	24	266	171	186	18	18
9	25	267	172	185	18	18
9	26	268	173	184	18	18
9	27	269	174	183	18	18
9	28	270	175	182	18	18
9	29	271	176	181	19	19
9	30	272	177	180	19	19
10	1	273	178	179	19	19
10	2	274	179	178	19	19
10	3	275	180	177	19	19
10	4	276	181	176	19	19
10	5	277	182	175	19	19
10	6	278	183	174	20	20
10	7	279	184	173	20	20
10	8	280	185	172	20	20
10	9	281	186	171	20	20
10	10	282	187	170	20	20
10	11	283	188	169	20	20
10	12	284	189	168	20	20
10	13	285	190	167	21	21
10	14	286	191	166	21	21
10	15	287	192	165	21	21
10	16	288	193	164	21	21
10	17	289	194	163	21	21
10	18	290	195	162	21	21
10	19	291	196	161	21	21
10	20	292	197	160	22	22
10	21	293	198	159	22	22
10	22	294	199	158	22	22
10	23	295	200	157	22	22
10	24	296	201	156	22	22
10	25	297	202	155	22	22
10	26	298	203	154	22	22
10	27	299	204	153	23	23
10	28	300	205	152	23	23
10	29	301	206	151	23	23
10	30	302	207	150	23	23
10	31	303	208	149	23	23
11	1	304	209	148	23	23
11	2	305	210	147	23	23
11	3	306	211	146	24	24
11	4	307	212	145	24	24
11	5	308	213	144	24	24
11	6	309	214	143	24	24
11	7	310	215	142	24	24
11	8	311	216	141	24	24
11	9	312	217	140	24	24
11	10	313	218	139	25	25
11	11	314	219	138	25	25
11	12	315	220	137	25	25
11	13	316	221	136	25	25
11	14	317	222	135	25	25
11	15	318	223	134	25	25
11	16	319	224	133	25	25
11	17	320	225	132	26	26
11	18	321	226	131	26	26
11	19	322	227	130	26	26
11	20	323	228	129	26	26
11	21	324	229	128	26	26
11	22	325	230	127	30	26
11	23	326	231	126	26	26
11	24	327	232	125	27	27
11	25	328	233	124	27	27
11	26	329	234	123	27	27
11	27	330	235	122	27	27
11	28	331	236	121	27	27
11	29	332	237	120	27	27
11	30	333	238	119	27	27
12	1	334	239	118	28	28
12	2	335	240	117	28	28
12	3	336	241	116	28	28
12	4	337	242	115	28	28
12	5	338	243	114	28	28
12	6	339	244	113	28	28
12	7	340	245	112	28	29
12	8	341	246	111	29	29
12	9	342	247	110	29	29
12	10	343	248	109	29	29
12	11	344	249	108	29	29
12	12	345	250	107	29	29
12	13	346	251	106	29	30
12	14	347	252	105	29	28
12	15	348	253	104	30	30
12	16	349	254	103	30	30
12	17	350	255	102	30	30
12	18	351	256	101	30	30
12	19	352	257	100	30	30
12	20	353	258	99	26	29
12	21	354	259	98	
12	22	355	260	97	31	31
12	23	356	261	96	31	31
12	24	357	262	95	31	31
12	25	358	263	94	31	31
12	26	359	264	93	31	31
12	27	360	265	92	
12	28	361	266	91	30	30
12	29	362	267	90	32	32
12	30	363	268	89	32	32
12	31	364	269	88	32	32
1	1	0	270	87	32	32
1	2	1	271	86	32	32
1	3	2	272	85	31	31
1	4	3	273	84	31	31
1	5	4	274	83	33	33
1	6	5	275	82	33	33
1	7	6	276	81	33	33
1	8	7	277	80	33	33
1	9	8	278	79	33	33
1	10	9	279	78	32	32
1	11	10	280	77	32	32
1	12	11	281	76	33	33
1	13	12	282	75	33	33
1	14	13	283	74	33	33
1	15	14	284	73	33	33
1	16	15	285	72	33	33
1	17	16	286	71	33	33
