;; This is a kahuna data file for the year 2143
;; Comments are indicated by the two semicolons
;; The key of boundaries is В (next year will be Ф)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	5	216	134	251	13	13
8	6	217	135	250	13	13
8	7	218	136	249	13	13
8	8	219	137	248	13	13
8	9	220	138	247	13	13
8	10	221	139	246	13	13
8	11	222	140	245	13	13
8	12	223	141	244	14	14
8	13	224	142	243	14	14
8	14	225	143	242	14	14
8	15	226	144	241	14	14
8	16	227	145	240	14	14
8	17	228	146	239	14	14
8	18	229	147	238	14	14
8	19	230	148	237	15	15
8	20	231	149	236	15	15
8	21	232	150	235	15	15
8	22	233	151	234	15	15
8	23	234	152	233	15	15
8	24	235	153	232	15	15
8	25	236	154	231	15	15
8	26	237	155	230	16	16
8	27	238	156	229	16	16
8	28	239	157	228	16	16
8	29	240	158	227	16	16
8	30	241	159	226	16	16
8	31	242	160	225	16	16
9	1	243	161	224	16	16
9	2	244	162	223	17	31
9	3	245	163	222	17	31
9	4	246	164	221	17	31
9	5	247	165	220	17	31
9	6	248	166	219	17	31
9	7	249	167	218	
9	8	250	168	217	17	17
9	9	251	169	216	18	17
9	10	252	170	215	18	17
9	11	253	171	214	18	17
9	12	254	172	213	18	17
9	13	255	173	212	18	17
9	14	256	174	211	
9	15	257	175	210	
9	16	258	176	209	19	18
9	17	259	177	208	19	18
9	18	260	178	207	19	18
9	19	261	179	206	19	18
9	20	262	180	205	19	18
9	21	263	181	204	19	18
9	22	264	182	203	19	18
9	23	265	183	202	20	19
9	24	266	184	201	20	19
9	25	267	185	200	20	19
9	26	268	186	199	20	19
9	27	269	187	198	20	19
9	28	270	188	197	20	19
9	29	271	189	196	20	19
9	30	272	190	195	21	20
10	1	273	191	194	21	20
10	2	274	192	193	21	20
10	3	275	193	192	21	20
10	4	276	194	191	21	20
10	5	277	195	190	21	20
10	6	278	196	189	21	20
10	7	279	197	188	22	21
10	8	280	198	187	22	21
10	9	281	199	186	22	21
10	10	282	200	185	22	21
10	11	283	201	184	22	21
10	12	284	202	183	22	21
10	13	285	203	182	22	21
10	14	286	204	181	23	22
10	15	287	205	180	23	22
10	16	288	206	179	23	22
10	17	289	207	178	23	22
10	18	290	208	177	23	22
10	19	291	209	176	23	22
10	20	292	210	175	23	22
10	21	293	211	174	24	23
10	22	294	212	173	24	23
10	23	295	213	172	24	23
10	24	296	214	171	24	23
10	25	297	215	170	24	23
10	26	298	216	169	24	23
10	27	299	217	168	24	23
10	28	300	218	167	25	24
10	29	301	219	166	25	24
10	30	302	220	165	25	24
10	31	303	221	164	25	24
11	1	304	222	163	25	24
11	2	305	223	162	25	24
11	3	306	224	161	25	24
11	4	307	225	160	26	25
11	5	308	226	159	26	25
11	6	309	227	158	26	25
11	7	310	228	157	26	25
11	8	311	229	156	26	25
11	9	312	230	155	32	25
11	10	313	231	154	26	25
11	11	314	232	153	27	26
11	12	315	233	152	27	26
11	13	316	234	151	27	26
11	14	317	235	150	27	26
11	15	318	236	149	27	26
11	16	319	237	148	27	26
11	17	320	238	147	27	26
11	18	321	239	146	28	27
11	19	322	240	145	28	27
11	20	323	241	144	28	27
11	21	324	242	143	28	27
11	22	325	243	142	28	27
11	23	326	244	141	28	27
11	24	327	245	140	28	27
11	25	328	246	139	29	28
11	26	329	247	138	29	28
11	27	330	248	137	29	28
11	28	331	249	136	29	28
11	29	332	250	135	29	28
11	30	333	251	134	29	28
12	1	334	252	133	31	30
12	2	335	253	132	30	29
12	3	336	254	131	30	29
12	4	337	255	130	30	29
12	5	338	256	129	30	29
12	6	339	257	128	30	29
12	7	340	258	127	30	31
12	8	341	259	126	30	29
12	9	342	260	125	31	30
12	10	343	261	124	31	30
12	11	344	262	123	31	30
12	12	345	263	122	31	30
12	13	346	264	121	31	30
12	14	347	265	120	31	30
12	15	348	266	119	29	28
12	16	349	267	118	32	31
12	17	350	268	117	32	31
12	18	351	269	116	32	31
12	19	352	270	115	32	31
12	20	353	271	114	32	31
12	21	354	272	113	26	29
12	22	355	273	112	
12	23	356	274	111	33	32
12	24	357	275	110	33	32
12	25	358	276	109	33	32
12	26	359	277	108	33	32
12	27	360	278	107	33	32
12	28	361	279	106	
12	29	362	280	105	
12	30	363	281	104	29	33
12	31	364	282	103	29	33
1	1	0	283	102	29	33
1	2	1	284	101	29	33
1	3	2	285	100	29	33
1	4	3	286	99	
1	5	4	287	98	
1	6	5	288	97	30	30
1	7	6	289	96	30	30
1	8	7	290	95	30	30
1	9	8	291	94	30	30
1	10	9	292	93	30	30
1	11	10	293	92	
1	12	11	294	91	
1	13	12	295	90	31	31
1	14	13	296	89	31	31
1	15	14	297	88	31	31
1	16	15	298	87	31	31
1	17	16	299	86	31	31
1	18	17	300	85	17	17
1	19	18	301	84	18	31
1	20	19	302	83	32	32
1	21	20	303	82	32	32
1	22	21	304	81	32	32
1	23	22	305	80	32	32
1	24	23	306	79	32	32
1	25	24	307	78	18	32
1	26	25	308	77	32	32
1	27	26	309	76	33	33
1	28	27	310	75	33	33
1	29	28	311	74	33	33
1	30	29	312	73	33	33
1	31	30	313	72	33	33
2	1	31	314	71	33	33
