;; This is a kahuna data file for the year 2036
;; Comments are indicated by the two semicolons
;; The key of boundaries is П (next year will be Б)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	19	230	134	216	13	13
8	20	231	135	215	13	13
8	21	232	136	214	13	13
8	22	233	137	213	13	13
8	23	234	138	212	13	13
8	24	235	139	211	13	13
8	25	236	140	210	13	13
8	26	237	141	209	14	14
8	27	238	142	208	14	14
8	28	239	143	207	14	14
8	29	240	144	206	14	14
8	30	241	145	205	14	14
8	31	242	146	204	14	14
9	1	243	147	203	14	14
9	2	244	148	202	15	15
9	3	245	149	201	15	15
9	4	246	150	200	15	15
9	5	247	151	199	15	15
9	6	248	152	198	15	15
9	7	249	153	197	15	15
9	8	250	154	196	15	15
9	9	251	155	195	16	16
9	10	252	156	194	16	16
9	11	253	157	193	16	16
9	12	254	158	192	16	16
9	13	255	159	191	16	16
9	14	256	160	190	
9	15	257	161	189	16	16
9	16	258	162	188	17	18
9	17	259	163	187	17	18
9	18	260	164	186	17	18
9	19	261	165	185	17	18
9	20	262	166	184	17	18
9	21	263	167	183	17	18
9	22	264	168	182	17	18
9	23	265	169	181	18	19
9	24	266	170	180	18	19
9	25	267	171	179	18	19
9	26	268	172	178	18	19
9	27	269	173	177	18	19
9	28	270	174	176	18	19
9	29	271	175	175	18	19
9	30	272	176	174	19	20
10	1	273	177	173	19	20
10	2	274	178	172	19	20
10	3	275	179	171	19	20
10	4	276	180	170	19	20
10	5	277	181	169	19	20
10	6	278	182	168	19	20
10	7	279	183	167	20	21
10	8	280	184	166	20	21
10	9	281	185	165	20	21
10	10	282	186	164	20	21
10	11	283	187	163	20	21
10	12	284	188	162	20	21
10	13	285	189	161	20	21
10	14	286	190	160	21	22
10	15	287	191	159	21	22
10	16	288	192	158	21	22
10	17	289	193	157	21	22
10	18	290	194	156	21	22
10	19	291	195	155	21	22
10	20	292	196	154	21	22
10	21	293	197	153	22	23
10	22	294	198	152	22	23
10	23	295	199	151	22	23
10	24	296	200	150	22	23
10	25	297	201	149	22	23
10	26	298	202	148	22	23
10	27	299	203	147	22	23
10	28	300	204	146	23	24
10	29	301	205	145	23	24
10	30	302	206	144	23	24
10	31	303	207	143	23	24
11	1	304	208	142	23	24
11	2	305	209	141	23	24
11	3	306	210	140	23	24
11	4	307	211	139	24	25
11	5	308	212	138	24	25
11	6	309	213	137	24	25
11	7	310	214	136	24	25
11	8	311	215	135	24	25
11	9	312	216	134	24	25
11	10	313	217	133	24	25
11	11	314	218	132	25	26
11	12	315	219	131	25	26
11	13	316	220	130	25	26
11	14	317	221	129	25	26
11	15	318	222	128	25	26
11	16	319	223	127	25	26
11	17	320	224	126	25	26
11	18	321	225	125	26	27
11	19	322	226	124	26	27
11	20	323	227	123	26	27
11	21	324	228	122	26	27
11	22	325	229	121	26	27
11	23	326	230	120	30	27
11	24	327	231	119	26	27
11	25	328	232	118	27	28
11	26	329	233	117	27	28
11	27	330	234	116	27	28
11	28	331	235	115	27	28
11	29	332	236	114	27	28
11	30	333	237	113	27	28
12	1	334	238	112	27	30
12	2	335	239	111	28	29
12	3	336	240	110	28	29
12	4	337	241	109	28	29
12	5	338	242	108	28	29
12	6	339	243	107	28	29
12	7	340	244	106	28	31
12	8	341	245	105	28	29
12	9	342	246	104	29	30
12	10	343	247	103	29	30
12	11	344	248	102	29	30
12	12	345	249	101	29	30
12	13	346	250	100	29	30
12	14	347	251	99	29	30
12	15	348	252	98	29	28
12	16	349	253	97	30	31
12	17	350	254	96	30	31
12	18	351	255	95	30	31
12	19	352	256	94	30	31
12	20	353	257	93	30	31
12	21	354	258	92	26	29
12	22	355	259	91	
12	23	356	260	90	31	32
12	24	357	261	89	31	32
12	25	358	262	88	31	32
12	26	359	263	87	31	32
12	27	360	264	86	31	32
12	28	361	265	85	31	17
12	29	362	266	84	31	31
12	30	363	267	83	32	33
12	31	364	268	82	32	33
1	1	0	269	81	32	33
1	2	1	270	80	32	33
1	3	2	271	79	32	33
1	4	3	272	78	32	32
1	5	4	273	77	32	32
1	6	5	274	76	33	33
1	7	6	275	75	33	33
1	8	7	276	74	33	33
1	9	8	277	73	33	33
1	10	9	278	72	33	33
1	11	10	279	71	33	33
