;; This is a kahuna data file for the year 2025
;; Comments are indicated by the two semicolons
;; The key of boundaries is П (next year will be З)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	19	230	134	223	13	13
8	20	231	135	222	13	13
8	21	232	136	221	13	13
8	22	233	137	220	13	13
8	23	234	138	219	13	13
8	24	235	139	218	13	13
8	25	236	140	217	13	13
8	26	237	141	216	14	14
8	27	238	142	215	14	14
8	28	239	143	214	14	14
8	29	240	144	213	14	14
8	30	241	145	212	14	14
8	31	242	146	211	14	14
9	1	243	147	210	14	14
9	2	244	148	209	15	15
9	3	245	149	208	15	15
9	4	246	150	207	15	15
9	5	247	151	206	15	15
9	6	248	152	205	15	15
9	7	249	153	204	15	15
9	8	250	154	203	15	15
9	9	251	155	202	16	16
9	10	252	156	201	16	16
9	11	253	157	200	16	16
9	12	254	158	199	16	16
9	13	255	159	198	16	16
9	14	256	160	197	
9	15	257	161	196	16	16
9	16	258	162	195	17	18
9	17	259	163	194	17	18
9	18	260	164	193	17	18
9	19	261	165	192	17	18
9	20	262	166	191	17	18
9	21	263	167	190	17	18
9	22	264	168	189	17	18
9	23	265	169	188	18	19
9	24	266	170	187	18	19
9	25	267	171	186	18	19
9	26	268	172	185	18	19
9	27	269	173	184	18	19
9	28	270	174	183	18	19
9	29	271	175	182	18	19
9	30	272	176	181	19	20
10	1	273	177	180	19	20
10	2	274	178	179	19	20
10	3	275	179	178	19	20
10	4	276	180	177	19	20
10	5	277	181	176	19	20
10	6	278	182	175	19	20
10	7	279	183	174	20	21
10	8	280	184	173	20	21
10	9	281	185	172	20	21
10	10	282	186	171	20	21
10	11	283	187	170	20	21
10	12	284	188	169	20	21
10	13	285	189	168	20	21
10	14	286	190	167	21	22
10	15	287	191	166	21	22
10	16	288	192	165	21	22
10	17	289	193	164	21	22
10	18	290	194	163	21	22
10	19	291	195	162	21	22
10	20	292	196	161	21	22
10	21	293	197	160	22	23
10	22	294	198	159	22	23
10	23	295	199	158	22	23
10	24	296	200	157	22	23
10	25	297	201	156	22	23
10	26	298	202	155	22	23
10	27	299	203	154	22	23
10	28	300	204	153	23	24
10	29	301	205	152	23	24
10	30	302	206	151	23	24
10	31	303	207	150	23	24
11	1	304	208	149	23	24
11	2	305	209	148	23	24
11	3	306	210	147	23	24
11	4	307	211	146	24	25
11	5	308	212	145	24	25
11	6	309	213	144	24	25
11	7	310	214	143	24	25
11	8	311	215	142	24	25
11	9	312	216	141	24	25
11	10	313	217	140	24	25
11	11	314	218	139	25	26
11	12	315	219	138	25	26
11	13	316	220	137	25	26
11	14	317	221	136	25	26
11	15	318	222	135	25	26
11	16	319	223	134	25	26
11	17	320	224	133	25	26
11	18	321	225	132	26	27
11	19	322	226	131	26	27
11	20	323	227	130	26	27
11	21	324	228	129	26	27
11	22	325	229	128	26	27
11	23	326	230	127	30	27
11	24	327	231	126	26	27
11	25	328	232	125	27	28
11	26	329	233	124	27	28
11	27	330	234	123	27	28
11	28	331	235	122	27	28
11	29	332	236	121	27	28
11	30	333	237	120	27	28
12	1	334	238	119	27	30
12	2	335	239	118	28	29
12	3	336	240	117	28	29
12	4	337	241	116	28	29
12	5	338	242	115	28	29
12	6	339	243	114	28	29
12	7	340	244	113	28	31
12	8	341	245	112	28	29
12	9	342	246	111	29	30
12	10	343	247	110	29	30
12	11	344	248	109	29	30
12	12	345	249	108	29	30
12	13	346	250	107	29	30
12	14	347	251	106	29	30
12	15	348	252	105	29	28
12	16	349	253	104	30	31
12	17	350	254	103	30	31
12	18	351	255	102	30	31
12	19	352	256	101	30	31
12	20	353	257	100	30	31
12	21	354	258	99	26	29
12	22	355	259	98	
12	23	356	260	97	31	32
12	24	357	261	96	31	32
12	25	358	262	95	31	32
12	26	359	263	94	31	32
12	27	360	264	93	31	32
12	28	361	265	92	
12	29	362	266	91	30	31
12	30	363	267	90	32	33
12	31	364	268	89	32	33
1	1	0	269	88	32	33
1	2	1	270	87	32	33
1	3	2	271	86	32	33
1	4	3	272	85	31	17
1	5	4	273	84	31	17
1	6	5	274	83	33	32
1	7	6	275	82	33	32
1	8	7	276	81	33	32
1	9	8	277	80	33	32
1	10	9	278	79	33	32
1	11	10	279	78	32	32
1	12	11	280	77	32	32
1	13	12	281	76	33	33
1	14	13	282	75	33	33
1	15	14	283	74	33	33
1	16	15	284	73	33	33
1	17	16	285	72	33	33
1	18	17	286	71	33	33
