;; This is a kahuna data file for the year 2074
;; Comments are indicated by the two semicolons
;; The key of boundaries is С (next year will be Г)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	21	232	134	216	13	13
8	22	233	135	215	13	13
8	23	234	136	214	13	13
8	24	235	137	213	13	13
8	25	236	138	212	13	13
8	26	237	139	211	13	13
8	27	238	140	210	13	13
8	28	239	141	209	14	14
8	29	240	142	208	14	14
8	30	241	143	207	14	14
8	31	242	144	206	14	14
9	1	243	145	205	14	14
9	2	244	146	204	14	14
9	3	245	147	203	14	14
9	4	246	148	202	15	15
9	5	247	149	201	15	15
9	6	248	150	200	15	15
9	7	249	151	199	15	15
9	8	250	152	198	15	15
9	9	251	153	197	15	15
9	10	252	154	196	15	15
9	11	253	155	195	16	16
9	12	254	156	194	16	16
9	13	255	157	193	16	16
9	14	256	158	192	16	16
9	15	257	159	191	16	16
9	16	258	160	190	16	16
9	17	259	161	189	16	16
9	18	260	162	188	17	18
9	19	261	163	187	17	18
9	20	262	164	186	17	18
9	21	263	165	185	17	18
9	22	264	166	184	17	18
9	23	265	167	183	17	18
9	24	266	168	182	17	18
9	25	267	169	181	18	19
9	26	268	170	180	18	19
9	27	269	171	179	18	19
9	28	270	172	178	18	19
9	29	271	173	177	18	19
9	30	272	174	176	18	19
10	1	273	175	175	18	19
10	2	274	176	174	19	20
10	3	275	177	173	19	20
10	4	276	178	172	19	20
10	5	277	179	171	19	20
10	6	278	180	170	19	20
10	7	279	181	169	19	20
10	8	280	182	168	19	20
10	9	281	183	167	20	21
10	10	282	184	166	20	21
10	11	283	185	165	20	21
10	12	284	186	164	20	21
10	13	285	187	163	20	21
10	14	286	188	162	20	21
10	15	287	189	161	20	21
10	16	288	190	160	21	22
10	17	289	191	159	21	22
10	18	290	192	158	21	22
10	19	291	193	157	21	22
10	20	292	194	156	21	22
10	21	293	195	155	21	22
10	22	294	196	154	21	22
10	23	295	197	153	22	23
10	24	296	198	152	22	23
10	25	297	199	151	22	23
10	26	298	200	150	22	23
10	27	299	201	149	22	23
10	28	300	202	148	22	23
10	29	301	203	147	22	23
10	30	302	204	146	23	24
10	31	303	205	145	23	24
11	1	304	206	144	23	24
11	2	305	207	143	23	24
11	3	306	208	142	23	24
11	4	307	209	141	23	24
11	5	308	210	140	23	24
11	6	309	211	139	24	25
11	7	310	212	138	24	25
11	8	311	213	137	24	25
11	9	312	214	136	24	25
11	10	313	215	135	24	25
11	11	314	216	134	24	25
11	12	315	217	133	24	25
11	13	316	218	132	25	26
11	14	317	219	131	25	26
11	15	318	220	130	25	26
11	16	319	221	129	25	26
11	17	320	222	128	25	26
11	18	321	223	127	25	26
11	19	322	224	126	25	26
11	20	323	225	125	26	27
11	21	324	226	124	26	27
11	22	325	227	123	26	27
11	23	326	228	122	26	27
11	24	327	229	121	26	27
11	25	328	230	120	30	27
11	26	329	231	119	26	27
11	27	330	232	118	27	28
11	28	331	233	117	27	28
11	29	332	234	116	27	28
11	30	333	235	115	27	28
12	1	334	236	114	27	28
12	2	335	237	113	27	28
12	3	336	238	112	27	30
12	4	337	239	111	28	29
12	5	338	240	110	28	29
12	6	339	241	109	28	29
12	7	340	242	108	28	29
12	8	341	243	107	28	29
12	9	342	244	106	28	31
12	10	343	245	105	28	29
12	11	344	246	104	29	30
12	12	345	247	103	29	30
12	13	346	248	102	29	30
12	14	347	249	101	29	30
12	15	348	250	100	29	30
12	16	349	251	99	29	30
12	17	350	252	98	29	28
12	18	351	253	97	30	31
12	19	352	254	96	30	31
12	20	353	255	95	30	31
12	21	354	256	94	30	31
12	22	355	257	93	30	31
12	23	356	258	92	26	29
12	24	357	259	91	
12	25	358	260	90	31	32
12	26	359	261	89	31	32
12	27	360	262	88	31	32
12	28	361	263	87	31	32
12	29	362	264	86	31	32
12	30	363	265	85	32	32
12	31	364	266	84	31	31
1	1	0	267	83	32	33
1	2	1	268	82	32	33
1	3	2	269	81	32	33
1	4	3	270	80	32	33
1	5	4	271	79	32	33
1	6	5	272	78	
1	7	6	273	77	32	32
1	8	7	274	76	33	33
1	9	8	275	75	33	33
1	10	9	276	74	33	33
1	11	10	277	73	33	33
1	12	11	278	72	33	33
1	13	12	279	71	33	33
