;; This is a kahuna data file for the year 2038
;; Comments are indicated by the two semicolons
;; The key of boundaries is Ф (next year will be М)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	24	235	134	223	13	13
8	25	236	135	222	13	13
8	26	237	136	221	13	13
8	27	238	137	220	13	13
8	28	239	138	219	13	13
8	29	240	139	218	13	13
8	30	241	140	217	13	13
8	31	242	141	216	14	14
9	1	243	142	215	14	14
9	2	244	143	214	14	14
9	3	245	144	213	14	14
9	4	246	145	212	14	14
9	5	247	146	211	14	14
9	6	248	147	210	14	14
9	7	249	148	209	15	15
9	8	250	149	208	15	15
9	9	251	150	207	15	15
9	10	252	151	206	15	15
9	11	253	152	205	15	15
9	12	254	153	204	15	15
9	13	255	154	203	15	15
9	14	256	155	202	16	16
9	15	257	156	201	16	16
9	16	258	157	200	16	16
9	17	259	158	199	16	16
9	18	260	159	198	16	16
9	19	261	160	197	16	16
9	20	262	161	196	16	16
9	21	263	162	195	17	18
9	22	264	163	194	17	18
9	23	265	164	193	17	18
9	24	266	165	192	17	18
9	25	267	166	191	17	18
9	26	268	167	190	17	18
9	27	269	168	189	17	18
9	28	270	169	188	18	19
9	29	271	170	187	18	19
9	30	272	171	186	18	19
10	1	273	172	185	18	19
10	2	274	173	184	18	19
10	3	275	174	183	18	19
10	4	276	175	182	18	19
10	5	277	176	181	19	20
10	6	278	177	180	19	20
10	7	279	178	179	19	20
10	8	280	179	178	19	20
10	9	281	180	177	19	20
10	10	282	181	176	19	20
10	11	283	182	175	19	20
10	12	284	183	174	20	21
10	13	285	184	173	20	21
10	14	286	185	172	20	21
10	15	287	186	171	20	21
10	16	288	187	170	20	21
10	17	289	188	169	20	21
10	18	290	189	168	20	21
10	19	291	190	167	21	22
10	20	292	191	166	21	22
10	21	293	192	165	21	22
10	22	294	193	164	21	22
10	23	295	194	163	21	22
10	24	296	195	162	21	22
10	25	297	196	161	21	22
10	26	298	197	160	22	23
10	27	299	198	159	22	23
10	28	300	199	158	22	23
10	29	301	200	157	22	23
10	30	302	201	156	22	23
10	31	303	202	155	22	23
11	1	304	203	154	22	23
11	2	305	204	153	23	24
11	3	306	205	152	23	24
11	4	307	206	151	23	24
11	5	308	207	150	23	24
11	6	309	208	149	23	24
11	7	310	209	148	23	24
11	8	311	210	147	23	24
11	9	312	211	146	24	25
11	10	313	212	145	24	25
11	11	314	213	144	24	25
11	12	315	214	143	24	25
11	13	316	215	142	24	25
11	14	317	216	141	24	25
11	15	318	217	140	24	25
11	16	319	218	139	25	26
11	17	320	219	138	25	26
11	18	321	220	137	25	26
11	19	322	221	136	25	26
11	20	323	222	135	25	26
11	21	324	223	134	25	26
11	22	325	224	133	25	26
11	23	326	225	132	26	27
11	24	327	226	131	26	27
11	25	328	227	130	26	27
11	26	329	228	129	26	27
11	27	330	229	128	26	27
11	28	331	230	127	29	27
11	29	332	231	126	26	27
11	30	333	232	125	27	28
12	1	334	233	124	27	28
12	2	335	234	123	27	28
12	3	336	235	122	27	28
12	4	337	236	121	27	28
12	5	338	237	120	27	28
12	6	339	238	119	27	29
12	7	340	239	118	28	29
12	8	341	240	117	28	29
12	9	342	241	116	28	29
12	10	343	242	115	28	29
12	11	344	243	114	28	29
12	12	345	244	113	28	30
12	13	346	245	112	29	28
12	14	347	246	111	29	30
12	15	348	247	110	29	30
12	16	349	248	109	29	30
12	17	350	249	108	29	30
12	18	351	250	107	29	30
12	19	352	251	106	26	29
12	20	353	252	105	
12	21	354	253	104	30	31
12	22	355	254	103	30	31
12	23	356	255	102	30	31
12	24	357	256	101	30	31
12	25	358	257	100	30	31
12	26	359	258	99	
12	27	360	259	98	28	30
12	28	361	260	97	31	32
12	29	362	261	96	31	32
12	30	363	262	95	31	32
12	31	364	263	94	31	32
1	1	0	264	93	31	32
1	2	1	265	92	30	31
1	3	2	266	91	30	31
1	4	3	267	90	32	33
1	5	4	268	89	32	33
1	6	5	269	88	32	33
1	7	6	270	87	32	33
1	8	7	271	86	32	33
1	9	8	272	85	31	17
1	10	9	273	84	31	17
1	11	10	274	83	33	32
1	12	11	275	82	33	32
1	13	12	276	81	33	32
1	14	13	277	80	33	32
1	15	14	278	79	33	32
1	16	15	279	78	32	32
1	17	16	280	77	32	32
1	18	17	281	76	33	33
1	19	18	282	75	33	33
1	20	19	283	74	33	33
1	21	20	284	73	33	33
1	22	21	285	72	33	33
1	23	22	286	71	33	33
