;; This is a kahuna data file for the year 2065
;; Comments are indicated by the two semicolons
;; The key of boundaries is Х (next year will be Н)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	25	236	134	223	13	13
8	26	237	135	222	13	13
8	27	238	136	221	13	13
8	28	239	137	220	13	13
8	29	240	138	219	13	13
8	30	241	139	218	13	13
8	31	242	140	217	13	13
9	1	243	141	216	14	14
9	2	244	142	215	14	14
9	3	245	143	214	14	14
9	4	246	144	213	14	14
9	5	247	145	212	14	14
9	6	248	146	211	14	14
9	7	249	147	210	14	14
9	8	250	148	209	15	15
9	9	251	149	208	15	15
9	10	252	150	207	15	15
9	11	253	151	206	15	15
9	12	254	152	205	15	15
9	13	255	153	204	15	15
9	14	256	154	203	
9	15	257	155	202	16	16
9	16	258	156	201	16	16
9	17	259	157	200	16	16
9	18	260	158	199	16	16
9	19	261	159	198	16	16
9	20	262	160	197	16	16
9	21	263	161	196	16	16
9	22	264	162	195	17	18
9	23	265	163	194	17	18
9	24	266	164	193	17	18
9	25	267	165	192	17	18
9	26	268	166	191	17	18
9	27	269	167	190	17	18
9	28	270	168	189	17	18
9	29	271	169	188	18	19
9	30	272	170	187	18	19
10	1	273	171	186	18	19
10	2	274	172	185	18	19
10	3	275	173	184	18	19
10	4	276	174	183	18	19
10	5	277	175	182	18	19
10	6	278	176	181	19	20
10	7	279	177	180	19	20
10	8	280	178	179	19	20
10	9	281	179	178	19	20
10	10	282	180	177	19	20
10	11	283	181	176	19	20
10	12	284	182	175	19	20
10	13	285	183	174	20	21
10	14	286	184	173	20	21
10	15	287	185	172	20	21
10	16	288	186	171	20	21
10	17	289	187	170	20	21
10	18	290	188	169	20	21
10	19	291	189	168	20	21
10	20	292	190	167	21	22
10	21	293	191	166	21	22
10	22	294	192	165	21	22
10	23	295	193	164	21	22
10	24	296	194	163	21	22
10	25	297	195	162	21	22
10	26	298	196	161	21	22
10	27	299	197	160	22	23
10	28	300	198	159	22	23
10	29	301	199	158	22	23
10	30	302	200	157	22	23
10	31	303	201	156	22	23
11	1	304	202	155	22	23
11	2	305	203	154	22	23
11	3	306	204	153	23	24
11	4	307	205	152	23	24
11	5	308	206	151	23	24
11	6	309	207	150	23	24
11	7	310	208	149	23	24
11	8	311	209	148	23	24
11	9	312	210	147	23	24
11	10	313	211	146	24	25
11	11	314	212	145	24	25
11	12	315	213	144	24	25
11	13	316	214	143	24	25
11	14	317	215	142	24	25
11	15	318	216	141	24	25
11	16	319	217	140	24	25
11	17	320	218	139	25	26
11	18	321	219	138	25	26
11	19	322	220	137	25	26
11	20	323	221	136	25	26
11	21	324	222	135	25	26
11	22	325	223	134	25	26
11	23	326	224	133	25	26
11	24	327	225	132	26	27
11	25	328	226	131	26	27
11	26	329	227	130	26	27
11	27	330	228	129	26	27
11	28	331	229	128	26	27
11	29	332	230	127	29	27
11	30	333	231	126	26	27
12	1	334	232	125	27	28
12	2	335	233	124	27	28
12	3	336	234	123	27	28
12	4	337	235	122	27	28
12	5	338	236	121	27	28
12	6	339	237	120	27	28
12	7	340	238	119	27	29
12	8	341	239	118	28	29
12	9	342	240	117	28	29
12	10	343	241	116	28	29
12	11	344	242	115	28	29
12	12	345	243	114	28	29
12	13	346	244	113	28	30
12	14	347	245	112	29	28
12	15	348	246	111	29	30
12	16	349	247	110	29	30
12	17	350	248	109	29	30
12	18	351	249	108	29	30
12	19	352	250	107	29	30
12	20	353	251	106	26	29
12	21	354	252	105	
12	22	355	253	104	30	31
12	23	356	254	103	30	31
12	24	357	255	102	30	31
12	25	358	256	101	30	31
12	26	359	257	100	30	31
12	27	360	258	99	
12	28	361	259	98	28	30
12	29	362	260	97	31	32
12	30	363	261	96	31	32
12	31	364	262	95	31	32
1	1	0	263	94	31	32
1	2	1	264	93	31	32
1	3	2	265	92	30	31
1	4	3	266	91	30	31
1	5	4	267	90	32	33
1	6	5	268	89	32	33
1	7	6	269	88	32	33
1	8	7	270	87	32	33
1	9	8	271	86	32	33
1	10	9	272	85	31	17
1	11	10	273	84	31	17
1	12	11	274	83	33	32
1	13	12	275	82	33	32
1	14	13	276	81	33	32
1	15	14	277	80	33	32
1	16	15	278	79	33	32
1	17	16	279	78	32	32
1	18	17	280	77	32	32
1	19	18	281	76	33	33
1	20	19	282	75	33	33
1	21	20	283	74	33	33
1	22	21	284	73	33	33
1	23	22	285	72	33	33
1	24	23	286	71	33	33
