;; This is a kahuna data file for the year 2057
;; Comments are indicated by the two semicolons
;; The key of boundaries is Ч (next year will be І)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	28	239	134	216	13	13
8	29	240	135	215	13	13
8	30	241	136	214	13	13
8	31	242	137	213	13	13
9	1	243	138	212	13	13
9	2	244	139	211	13	13
9	3	245	140	210	13	13
9	4	246	141	209	14	14
9	5	247	142	208	14	14
9	6	248	143	207	14	14
9	7	249	144	206	14	14
9	8	250	145	205	14	14
9	9	251	146	204	14	14
9	10	252	147	203	14	14
9	11	253	148	202	15	15
9	12	254	149	201	15	15
9	13	255	150	200	15	15
9	14	256	151	199	15	15
9	15	257	152	198	15	15
9	16	258	153	197	15	15
9	17	259	154	196	15	15
9	18	260	155	195	16	18
9	19	261	156	194	16	18
9	20	262	157	193	16	18
9	21	263	158	192	16	18
9	22	264	159	191	16	18
9	23	265	160	190	16	18
9	24	266	161	189	16	18
9	25	267	162	188	17	19
9	26	268	163	187	17	19
9	27	269	164	186	17	19
9	28	270	165	185	17	19
9	29	271	166	184	17	19
9	30	272	167	183	17	19
10	1	273	168	182	17	19
10	2	274	169	181	18	20
10	3	275	170	180	18	20
10	4	276	171	179	18	20
10	5	277	172	178	18	20
10	6	278	173	177	18	20
10	7	279	174	176	18	20
10	8	280	175	175	18	20
10	9	281	176	174	19	21
10	10	282	177	173	19	21
10	11	283	178	172	19	21
10	12	284	179	171	19	21
10	13	285	180	170	19	21
10	14	286	181	169	19	21
10	15	287	182	168	19	21
10	16	288	183	167	20	22
10	17	289	184	166	20	22
10	18	290	185	165	20	22
10	19	291	186	164	20	22
10	20	292	187	163	20	22
10	21	293	188	162	20	22
10	22	294	189	161	20	22
10	23	295	190	160	21	23
10	24	296	191	159	21	23
10	25	297	192	158	21	23
10	26	298	193	157	21	23
10	27	299	194	156	21	23
10	28	300	195	155	21	23
10	29	301	196	154	21	23
10	30	302	197	153	22	24
10	31	303	198	152	22	24
11	1	304	199	151	22	24
11	2	305	200	150	22	24
11	3	306	201	149	22	24
11	4	307	202	148	22	24
11	5	308	203	147	22	24
11	6	309	204	146	23	25
11	7	310	205	145	23	25
11	8	311	206	144	23	25
11	9	312	207	143	23	25
11	10	313	208	142	23	25
11	11	314	209	141	23	25
11	12	315	210	140	23	25
11	13	316	211	139	24	26
11	14	317	212	138	24	26
11	15	318	213	137	24	26
11	16	319	214	136	24	26
11	17	320	215	135	24	26
11	18	321	216	134	24	26
11	19	322	217	133	24	26
11	20	323	218	132	25	27
11	21	324	219	131	25	27
11	22	325	220	130	25	27
11	23	326	221	129	25	27
11	24	327	222	128	25	27
11	25	328	223	127	25	27
11	26	329	224	126	25	27
11	27	330	225	125	26	28
11	28	331	226	124	26	28
11	29	332	227	123	26	28
11	30	333	228	122	26	28
12	1	334	229	121	26	28
12	2	335	230	120	29	28
12	3	336	231	119	26	30
12	4	337	232	118	27	29
12	5	338	233	117	27	29
12	6	339	234	116	27	29
12	7	340	235	115	27	29
12	8	341	236	114	27	29
12	9	342	237	113	27	31
12	10	343	238	112	27	29
12	11	344	239	111	28	16
12	12	345	240	110	28	16
12	13	346	241	109	28	16
12	14	347	242	108	28	16
12	15	348	243	107	28	16
12	16	349	244	106	28	30
12	17	350	245	105	29	28
12	18	351	246	104	29	30
12	19	352	247	103	29	30
12	20	353	248	102	29	30
12	21	354	249	101	29	30
12	22	355	250	100	29	30
12	23	356	251	99	26	29
12	24	357	252	98	
12	25	358	253	97	30	31
12	26	359	254	96	30	31
12	27	360	255	95	30	31
12	28	361	256	94	30	31
12	29	362	257	93	30	31
12	30	363	258	92	30	17
12	31	364	259	91	30	31
1	1	0	260	90	31	32
1	2	1	261	89	31	32
1	3	2	262	88	31	32
1	4	3	263	87	31	32
1	5	4	264	86	31	32
1	6	5	265	85	
1	7	6	266	84	31	17
1	8	7	267	83	32	33
1	9	8	268	82	32	33
1	10	9	269	81	32	33
1	11	10	270	80	32	33
1	12	11	271	79	32	33
1	13	12	272	78	32	32
1	14	13	273	77	32	32
1	15	14	274	76	33	33
1	16	15	275	75	33	33
1	17	16	276	74	33	33
1	18	17	277	73	33	33
1	19	18	278	72	33	33
1	20	19	279	71	33	33
