;; This is a kahuna data file for the year 2097
;; Comments are indicated by the two semicolons
;; The key of boundaries is Ѣ (next year will be Ѿ)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
9	3	245	134	223	13	13
9	4	246	135	222	13	13
9	5	247	136	221	13	13
9	6	248	137	220	13	13
9	7	249	138	219	13	13
9	8	250	139	218	13	13
9	9	251	140	217	13	13
9	10	252	141	216	14	14
9	11	253	142	215	14	14
9	12	254	143	214	14	14
9	13	255	144	213	14	14
9	14	256	145	212	14	14
9	15	257	146	211	14	14
9	16	258	147	210	14	14
9	17	259	148	209	15	18
9	18	260	149	208	15	18
9	19	261	150	207	15	18
9	20	262	151	206	15	18
9	21	263	152	205	15	18
9	22	264	153	204	15	18
9	23	265	154	203	15	18
9	24	266	155	202	16	19
9	25	267	156	201	16	19
9	26	268	157	200	16	19
9	27	269	158	199	16	19
9	28	270	159	198	16	19
9	29	271	160	197	16	19
9	30	272	161	196	16	19
10	1	273	162	195	17	20
10	2	274	163	194	17	20
10	3	275	164	193	17	20
10	4	276	165	192	17	20
10	5	277	166	191	17	20
10	6	278	167	190	17	20
10	7	279	168	189	17	20
10	8	280	169	188	18	21
10	9	281	170	187	18	21
10	10	282	171	186	18	21
10	11	283	172	185	18	21
10	12	284	173	184	18	21
10	13	285	174	183	18	21
10	14	286	175	182	18	21
10	15	287	176	181	19	22
10	16	288	177	180	19	22
10	17	289	178	179	19	22
10	18	290	179	178	19	22
10	19	291	180	177	19	22
10	20	292	181	176	19	22
10	21	293	182	175	19	22
10	22	294	183	174	20	23
10	23	295	184	173	20	23
10	24	296	185	172	20	23
10	25	297	186	171	20	23
10	26	298	187	170	20	23
10	27	299	188	169	20	23
10	28	300	189	168	20	23
10	29	301	190	167	21	24
10	30	302	191	166	21	24
10	31	303	192	165	21	24
11	1	304	193	164	21	24
11	2	305	194	163	21	24
11	3	306	195	162	21	24
11	4	307	196	161	21	24
11	5	308	197	160	22	25
11	6	309	198	159	22	25
11	7	310	199	158	22	25
11	8	311	200	157	22	25
11	9	312	201	156	22	25
11	10	313	202	155	22	25
11	11	314	203	154	22	25
11	12	315	204	153	23	26
11	13	316	205	152	23	26
11	14	317	206	151	23	26
11	15	318	207	150	23	26
11	16	319	208	149	23	26
11	17	320	209	148	23	26
11	18	321	210	147	23	26
11	19	322	211	146	24	27
11	20	323	212	145	24	27
11	21	324	213	144	24	27
11	22	325	214	143	24	27
11	23	326	215	142	24	27
11	24	327	216	141	24	27
11	25	328	217	140	24	27
11	26	329	218	139	25	28
11	27	330	219	138	25	28
11	28	331	220	137	25	28
11	29	332	221	136	25	28
11	30	333	222	135	25	28
12	1	334	223	134	25	28
12	2	335	224	133	25	30
12	3	336	225	132	26	29
12	4	337	226	131	26	29
12	5	338	227	130	26	29
12	6	339	228	129	26	29
12	7	340	229	128	26	29
12	8	341	230	127	28	31
12	9	342	231	126	26	29
12	10	343	232	125	27	15
12	11	344	233	124	27	15
12	12	345	234	123	27	15
12	13	346	235	122	27	15
12	14	347	236	121	27	15
12	15	348	237	120	27	30
12	16	349	238	119	29	28
12	17	350	239	118	28	16
12	18	351	240	117	28	16
12	19	352	241	116	28	16
12	20	353	242	115	28	16
12	21	354	243	114	28	16
12	22	355	244	113	26	29
12	23	356	245	112	
12	24	357	246	111	29	30
12	25	358	247	110	29	30
12	26	359	248	109	29	30
12	27	360	249	108	29	30
12	28	361	250	107	29	30
12	29	362	251	106	
12	30	363	252	105	27	31
12	31	364	253	104	30	31
1	1	0	254	103	30	31
1	2	1	255	102	30	31
1	3	2	256	101	30	31
1	4	3	257	100	30	31
1	5	4	258	99	29	15
1	6	5	259	98	
1	7	6	260	97	31	32
1	8	7	261	96	31	32
1	9	8	262	95	31	32
1	10	9	263	94	31	32
1	11	10	264	93	31	32
1	12	11	265	92	30	16
1	13	12	266	91	30	16
1	14	13	267	90	32	33
1	15	14	268	89	32	33
1	16	15	269	88	32	33
1	17	16	270	87	32	33
1	18	17	271	86	32	33
1	19	18	272	85	31	17
1	20	19	273	84	31	17
1	21	20	274	83	33	32
1	22	21	275	82	33	32
1	23	22	276	81	33	32
1	24	23	277	80	33	32
1	25	24	278	79	33	32
1	26	25	279	78	32	32
1	27	26	280	77	32	32
1	28	27	281	76	33	33
1	29	28	282	75	33	33
1	30	29	283	74	33	33
1	31	30	284	73	33	33
2	1	31	285	72	33	33
2	2	32	286	71	33	33
