;; This is a kahuna data file for the year 2051
;; Comments are indicated by the two semicolons
;; The key of boundaries is Ѫ (next year will be Р)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
9	5	247	134	216	13	13
9	6	248	135	215	13	13
9	7	249	136	214	13	13
9	8	250	137	213	13	13
9	9	251	138	212	13	13
9	10	252	139	211	13	13
9	11	253	140	210	13	13
9	12	254	141	209	14	14
9	13	255	142	208	14	14
9	14	256	143	207	14	14
9	15	257	144	206	14	14
9	16	258	145	205	14	14
9	17	259	146	204	14	14
9	18	260	147	203	14	14
9	19	261	148	202	15	18
9	20	262	149	201	15	18
9	21	263	150	200	15	18
9	22	264	151	199	15	18
9	23	265	152	198	15	18
9	24	266	153	197	15	18
9	25	267	154	196	15	18
9	26	268	155	195	16	19
9	27	269	156	194	16	19
9	28	270	157	193	16	19
9	29	271	158	192	16	19
9	30	272	159	191	16	19
10	1	273	160	190	16	19
10	2	274	161	189	16	19
10	3	275	162	188	17	20
10	4	276	163	187	17	20
10	5	277	164	186	17	20
10	6	278	165	185	17	20
10	7	279	166	184	17	20
10	8	280	167	183	17	20
10	9	281	168	182	17	20
10	10	282	169	181	18	21
10	11	283	170	180	18	21
10	12	284	171	179	18	21
10	13	285	172	178	18	21
10	14	286	173	177	18	21
10	15	287	174	176	18	21
10	16	288	175	175	18	21
10	17	289	176	174	19	22
10	18	290	177	173	19	22
10	19	291	178	172	19	22
10	20	292	179	171	19	22
10	21	293	180	170	19	22
10	22	294	181	169	19	22
10	23	295	182	168	19	22
10	24	296	183	167	20	23
10	25	297	184	166	20	23
10	26	298	185	165	20	23
10	27	299	186	164	20	23
10	28	300	187	163	20	23
10	29	301	188	162	20	23
10	30	302	189	161	20	23
10	31	303	190	160	21	24
11	1	304	191	159	21	24
11	2	305	192	158	21	24
11	3	306	193	157	21	24
11	4	307	194	156	21	24
11	5	308	195	155	21	24
11	6	309	196	154	21	24
11	7	310	197	153	22	25
11	8	311	198	152	22	25
11	9	312	199	151	22	25
11	10	313	200	150	22	25
11	11	314	201	149	22	25
11	12	315	202	148	22	25
11	13	316	203	147	22	25
11	14	317	204	146	23	26
11	15	318	205	145	23	26
11	16	319	206	144	23	26
11	17	320	207	143	23	26
11	18	321	208	142	23	26
11	19	322	209	141	23	26
11	20	323	210	140	23	26
11	21	324	211	139	24	27
11	22	325	212	138	24	27
11	23	326	213	137	24	27
11	24	327	214	136	24	27
11	25	328	215	135	24	27
11	26	329	216	134	24	27
11	27	330	217	133	24	27
11	28	331	218	132	25	28
11	29	332	219	131	25	28
11	30	333	220	130	25	28
12	1	334	221	129	25	28
12	2	335	222	128	25	28
12	3	336	223	127	25	28
12	4	337	224	126	25	29
12	5	338	225	125	26	29
12	6	339	226	124	26	29
12	7	340	227	123	26	29
12	8	341	228	122	26	29
12	9	342	229	121	26	29
12	10	343	230	120	27	30
12	11	344	231	119	29	28
12	12	345	232	118	27	15
12	13	346	233	117	27	15
12	14	347	234	116	27	15
12	15	348	235	115	27	15
12	16	349	236	114	27	15
12	17	350	237	113	26	29
12	18	351	238	112	
12	19	352	239	111	28	16
12	20	353	240	110	28	16
12	21	354	241	109	28	16
12	22	355	242	108	28	16
12	23	356	243	107	28	16
12	24	357	244	106	28	31
12	25	358	245	105	
12	26	359	246	104	29	30
12	27	360	247	103	29	30
12	28	361	248	102	29	30
12	29	362	249	101	29	30
12	30	363	250	100	29	30
12	31	364	251	99	29	15
1	1	0	252	98	26	30
1	2	1	253	97	30	31
1	3	2	254	96	30	31
1	4	3	255	95	30	31
1	5	4	256	94	30	31
1	6	5	257	93	30	31
1	7	6	258	92	30	16
1	8	7	259	91	30	31
1	9	8	260	90	31	32
1	10	9	261	89	31	32
1	11	10	262	88	31	32
1	12	11	263	87	31	32
1	13	12	264	86	31	32
1	14	13	265	85	31	17
1	15	14	266	84	31	17
1	16	15	267	83	32	33
1	17	16	268	82	32	33
1	18	17	269	81	32	33
1	19	18	270	80	32	33
1	20	19	271	79	32	33
1	21	20	272	78	32	32
1	22	21	273	77	32	32
1	23	22	274	76	33	33
1	24	23	275	75	33	33
1	25	24	276	74	33	33
1	26	25	277	73	33	33
1	27	26	278	72	33	33
1	28	27	279	71	33	33
