;; effweek	dow	epistleReading	epistlePericope	gospelReading	gospelPericope
-7	0	Acts_1:1-8	1	Jn_1:1-17	1
-6	1	Acts_1:12-17, 21-26	2	Jn_1:18-28	2
-6	2	Acts_2:14-21	4	Lk_24:12-35	113
-6	3	Acts_2:22-36	5	Jn_1:35-51	4
-6	4	Acts_2:38-43	6	Jn_3:1-15	8
-6	5	Acts_3:1-8	7	Jn_2:12-22	7
-6	6	Acts_3:11-16	8	Jn_3:22-33	11
-6	0	Acts_5:12-20	14	Jn_20:19-31	65
-5	1	Acts_3:19-26	9	Jn_2:1-11	6
-5	2	Acts_4:1-10	10	Jn_3:16-21	10
-5	3	Acts_4:13-22	11	Jn_5:17b-24	15
-5	4	Acts_4:23-31	12	Jn_5:24-30	16
-5	5	Acts_5:1-11	13	Jn_5:30b-6:2	17
-5	6	Acts_5:21-33	15	Jn_6:14-27	19
-5	0	Acts_6:1-7	16	Mk_15:43-16:8	69
-4	1	Acts_6:8-7:5a, 7:47-60	17	Jn_4:46b-54	13
-4	2	Acts_8:5-17	18	Jn_6:27-33	20
-4	3	Acts_8:18-25	19	Jn_6:35-39	21
-4	4	Acts_8:26-39	20	Jn_6:40-44	22
-4	5	Acts_8:40-9:19a	21	Jn_6:48-54	23
-4	6	Acts_9:19b-31	22	Jn_15:17-16:2	52
-4	0	Acts_9:32-42	23	Jn_5:1-15	14
-3	1	Acts_10:1-16	24	Jn_6:56-69	24
-3	2	Acts_10:21-33	25	Jn_7:1-13	25
-3	3	Acts_14:6b-18	34	Jn_7:14-30	26
-3	4	Acts_10:34-43	26	Jn_8:12-20	29
-3	5	Acts_10:44-11:10	27	Jn_8:21-30	30
-3	6	Acts_12:1-11	29	Jn_8:31-42a	31
-3	0	Acts_11:19-26, 29-30	28	Jn_4:5-42	12
-2	1	Acts_12:12-17	30	Jn_8:42-51	32
-2	2	Acts_12:25-13:12	31	Jn_8:51-59	33
-2	3	Acts_13:13-24	32	Jn_6:5-14	18
-2	4	Acts_14:20b-27	35	Jn_9:39-10:9	35
-2	5	Acts_15:5-34	36	Jn_10:17-28a	37
-2	6	Acts_15:35-41	37	Jn_10:27-38	38
-2	0	Acts_16:16-34	38	Jn_9:1-38	34
-1	1	Acts_17:1-15	39	Jn_11:47-57	40
-1	2	Acts_17:19-28a	40 (mid.)	Jn_12:19-36a	42
-1	3	Acts_18:22-28	41	Jn_12:36-47	43
-1	4	Acts_1:1-12	1	Lk_24:36-53	114
-1	5	Acts_19:1-8	42	Jn_14:1-11a	47
-1	6	Acts_20:7-12	43	Jn_14:10b-21	48
-1	0	Acts_20:16-18a, 20:28-36	44	Jn_17:1-13	56
